date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,10.21,10.25,10.0,10.19,81966.5,天润乳业,10.19,10.19,10.19
2025-03-25,10.28,10.28,9.83,10.1,94105.21,天润乳业,10.14,10.14,10.14
2025-03-26,9.95,10.16,9.9,10.04,59929.0,天润乳业,10.11,10.11,10.11
2025-03-27,10.02,10.16,9.99,9.99,46704.9,天润乳业,10.08,10.08,10.08
2025-03-28,10.03,10.08,9.8,9.88,49853.1,天润乳业,10.04,10.04,10.04
2025-03-31,9.83,9.88,9.56,9.63,55690.7,天润乳业,9.93,9.97,9.97
2025-04-01,9.64,9.91,9.64,9.8,46027.2,天润乳业,9.87,9.95,9.95
2025-04-02,9.8,9.88,9.74,9.81,33231.99,天润乳业,9.82,9.93,9.93
2025-04-03,9.78,10.22,9.74,10.19,96636.6,天润乳业,9.86,9.96,9.96
2025-04-07,9.69,10.42,9.48,9.66,186108.29,天润乳业,9.82,9.93,9.93
2025-04-08,9.66,10.54,9.66,10.54,242970.34,天润乳业,10.0,9.96,9.98
2025-04-09,10.3,11.21,9.89,11.01,307431.74,天润乳业,10.24,10.06,10.07
2025-04-10,10.6,11.87,10.6,11.43,331586.73,天润乳业,10.57,10.19,10.17
2025-04-11,11.3,11.3,10.88,11.12,212757.02,天润乳业,10.75,10.31,10.24
2025-04-14,11.04,11.53,11.0,11.24,184436.4,天润乳业,11.07,10.44,10.31
2025-04-15,11.2,11.79,11.15,11.46,188101.9,天润乳业,11.25,10.63,10.38
2025-04-16,11.3,11.43,11.01,11.2,129517.0,天润乳业,11.29,10.77,10.43
2025-04-17,11.28,11.33,11.06,11.08,100003.0,天润乳业,11.22,10.89,10.46
2025-04-18,11.13,11.38,11.0,11.08,100746.24,天润乳业,11.21,10.98,10.5
2025-04-21,10.96,11.19,10.82,10.91,103551.65,天润乳业,11.15,11.11,10.52
2025-04-22,10.85,11.35,10.77,11.1,121987.05,天润乳业,11.07,11.16,10.56
2025-04-23,11.1,11.22,10.7,10.74,108017.02,天润乳业,10.98,11.14,10.6
2025-04-24,10.75,11.43,10.6,10.99,129296.0,天润乳业,10.96,11.09,10.64
2025-04-25,10.94,11.11,10.84,10.9,66179.0,天润乳业,10.93,11.07,10.69
2025-04-28,10.84,10.84,10.33,10.44,76903.0,天润乳业,10.83,10.99,10.72
2025-04-29,9.73,10.0,9.48,9.85,194770.0,天润乳业,10.58,10.83,10.73
2025-04-30,9.82,10.07,9.65,9.67,103834.99,天润乳业,10.37,10.68,10.72
2025-05-06,9.68,9.8,9.41,9.55,114672.9,天润乳业,10.08,10.52,10.71
2025-05-07,9.6,9.84,9.5,9.57,94460.99,天润乳业,9.82,10.37,10.68
2025-05-08,9.5,9.84,9.38,9.72,89090.07,天润乳业,9.67,10.25,10.68
2025-05-09,9.74,9.75,9.54,9.57,65439.0,天润乳业,9.62,10.1,10.63
2025-05-12,9.6,9.65,9.44,9.51,80874.02,天润乳业,9.58,9.98,10.56
2025-05-13,9.57,9.57,9.44,9.48,47591.1,天润乳业,9.57,9.83,10.46
2025-05-14,9.46,9.5,9.18,9.3,106785.19,天润乳业,9.52,9.67,10.37
