date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,36.68,38.86,35.78,38.38,529247.26,宝钛股份,38.38,38.38,38.38
2025-03-25,37.0,37.47,35.51,35.51,428401.41,宝钛股份,36.94,36.94,36.94
2025-03-26,35.0,36.62,35.0,35.2,307826.9,宝钛股份,36.36,36.36,36.36
2025-03-27,35.05,35.67,34.02,34.26,262319.47,宝钛股份,35.84,35.84,35.84
2025-03-28,34.3,34.45,33.7,33.8,177506.68,宝钛股份,35.43,35.43,35.43
2025-03-31,33.8,33.98,32.67,33.09,179151.08,宝钛股份,34.37,35.04,35.04
2025-04-01,33.12,33.59,32.72,32.82,174145.39,宝钛股份,33.83,34.72,34.72
2025-04-02,32.8,32.98,32.25,32.4,130529.06,宝钛股份,33.27,34.43,34.43
2025-04-03,32.1,32.39,31.7,31.94,121255.32,宝钛股份,32.81,34.16,34.16
2025-04-07,30.0,30.3,28.75,28.75,180789.41,宝钛股份,31.8,33.61,33.61
2025-04-08,29.0,29.42,28.22,28.79,198232.07,宝钛股份,30.94,32.66,33.18
2025-04-09,28.18,30.5,27.51,30.3,274739.47,宝钛股份,30.44,32.14,32.94
2025-04-10,30.9,31.35,30.39,30.68,215347.22,宝钛股份,30.09,31.68,32.76
2025-04-11,30.9,31.39,30.8,31.13,148133.48,宝钛股份,29.93,31.37,32.65
2025-04-14,31.52,31.7,30.86,30.97,158167.18,宝钛股份,30.37,31.09,32.53
2025-04-15,30.96,31.5,30.65,30.78,118279.89,宝钛股份,30.77,30.86,32.42
2025-04-16,30.85,31.18,30.05,30.4,107031.0,宝钛股份,30.79,30.61,32.31
2025-04-17,30.26,31.39,30.15,30.75,121443.0,宝钛股份,30.81,30.45,32.22
2025-04-18,30.7,31.27,30.46,30.93,117877.36,宝钛股份,30.77,30.35,32.15
2025-04-21,31.08,32.0,30.86,31.95,169665.6,宝钛股份,30.96,30.67,32.14
2025-04-22,31.95,31.95,31.51,31.66,114813.01,宝钛股份,31.14,30.96,31.81
