date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,11.11,11.18,10.93,11.16,41821.75,惠泉啤酒,11.16,11.16,11.16
2025-03-25,11.13,11.3,11.1,11.26,41158.0,惠泉啤酒,11.21,11.21,11.21
2025-03-26,11.17,11.36,11.16,11.31,30341.1,惠泉啤酒,11.24,11.24,11.24
2025-03-27,11.31,11.39,11.22,11.27,23867.1,惠泉啤酒,11.25,11.25,11.25
2025-03-28,11.26,11.29,11.11,11.16,19683.0,惠泉啤酒,11.23,11.23,11.23
2025-03-31,11.14,11.27,11.04,11.13,33944.75,惠泉啤酒,11.23,11.22,11.22
2025-04-01,11.13,11.45,11.12,11.38,44423.03,惠泉啤酒,11.25,11.24,11.24
2025-04-02,11.35,11.47,11.33,11.41,26561.11,惠泉啤酒,11.27,11.26,11.26
2025-04-03,11.43,11.59,11.28,11.57,48055.31,惠泉啤酒,11.33,11.29,11.29
2025-04-07,11.37,11.4,10.68,10.89,88099.14,惠泉啤酒,11.28,11.25,11.25
2025-04-08,11.09,11.24,10.86,11.09,63953.91,惠泉啤酒,11.27,11.25,11.24
2025-04-09,10.9,11.31,10.53,11.26,74110.0,惠泉啤酒,11.24,11.25,11.24
2025-04-10,11.24,11.75,11.14,11.45,88522.12,惠泉啤酒,11.25,11.26,11.26
2025-04-11,11.45,11.45,11.08,11.1,64603.0,惠泉啤酒,11.16,11.24,11.25
2025-04-14,11.09,11.53,11.04,11.53,96039.87,惠泉啤酒,11.29,11.28,11.26
2025-04-15,11.53,11.62,11.37,11.5,150607.37,惠泉啤酒,11.37,11.32,11.28
2025-04-16,11.4,11.4,10.95,11.13,111580.78,惠泉啤酒,11.34,11.29,11.27
2025-04-17,11.03,11.43,10.91,11.43,96661.3,惠泉啤酒,11.34,11.3,11.28
2025-04-18,11.39,11.4,11.0,11.06,74688.37,惠泉啤酒,11.33,11.24,11.27
2025-04-21,11.06,11.17,10.87,11.07,53230.5,惠泉啤酒,11.24,11.26,11.26
2025-04-22,11.16,11.16,11.0,11.07,37536.0,惠泉啤酒,11.15,11.26,11.25
2025-04-23,11.06,11.09,10.9,10.95,40867.0,惠泉啤酒,11.12,11.23,11.24
2025-04-24,10.92,11.11,10.92,10.99,35350.0,惠泉啤酒,11.03,11.18,11.22
2025-04-25,11.02,11.65,10.97,11.53,167190.37,惠泉啤酒,11.12,11.23,11.24
2025-04-28,11.53,11.56,11.3,11.38,69583.88,惠泉啤酒,11.18,11.21,11.25
2025-04-29,11.31,11.55,11.31,11.42,45216.0,惠泉啤酒,11.25,11.2,11.26
2025-04-30,11.36,11.44,11.17,11.19,54873.0,惠泉啤酒,11.3,11.21,11.25
2025-05-06,11.26,11.36,11.09,11.24,44671.0,惠泉啤酒,11.35,11.19,11.24
2025-05-07,11.29,11.55,11.26,11.49,81517.31,惠泉啤酒,11.34,11.23,11.24
2025-05-08,11.49,11.69,11.36,11.6,57091.02,惠泉啤酒,11.39,11.29,11.27
2025-05-09,11.51,12.0,11.49,11.91,76586.36,惠泉啤酒,11.49,11.37,11.32
2025-05-12,11.85,11.89,11.57,11.6,84310.88,惠泉啤酒,11.57,11.43,11.33
2025-05-13,11.64,11.66,11.5,11.52,45478.89,惠泉啤酒,11.62,11.49,11.34
2025-05-14,11.51,11.52,11.37,11.48,43465.0,惠泉啤酒,11.62,11.48,11.35
2025-05-15,11.48,11.61,11.4,11.59,46766.0,惠泉啤酒,11.62,11.5,11.36
2025-05-16,11.6,11.69,11.4,11.66,57101.0,惠泉啤酒,11.57,11.53,11.37
2025-05-19,11.61,11.86,11.57,11.78,45704.0,惠泉啤酒,11.61,11.59,11.4
2025-05-20,11.75,11.94,11.72,11.93,50756.5,惠泉啤酒,11.69,11.66,11.42
2025-05-21,11.86,11.98,11.79,11.88,33745.0,惠泉啤酒,11.77,11.7,11.46
2025-05-22,11.79,11.97,11.78,11.87,38472.0,惠泉啤酒,11.82,11.72,11.5
2025-05-23,11.87,12.19,11.8,11.99,81382.5,惠泉啤酒,11.89,11.73,11.55
2025-05-26,11.96,12.18,11.8,11.85,61815.0,惠泉啤酒,11.9,11.76,11.6
2025-05-27,11.86,12.4,11.86,12.21,103917.09,惠泉啤酒,11.96,11.82,11.66
2025-05-28,12.15,12.72,12.15,12.42,102234.98,惠泉啤酒,12.07,11.92,11.7
2025-05-29,12.4,12.44,12.15,12.23,74535.37,惠泉啤酒,12.14,11.98,11.74
2025-05-30,12.07,12.3,12.07,12.23,48613.21,惠泉啤酒,12.19,12.04,11.78
2025-06-03,12.14,13.15,12.1,12.94,132712.21,惠泉啤酒,12.41,12.16,11.87
2025-06-04,12.95,14.11,12.6,13.85,255522.17,惠泉啤酒,12.73,12.35,12.0
2025-06-05,13.51,13.58,12.82,12.88,196072.23,惠泉啤酒,12.83,12.45,12.07
2025-06-06,12.87,13.4,12.62,12.99,148186.45,惠泉啤酒,12.98,12.56,12.14
2025-06-09,12.73,13.01,12.66,13.01,96559.54,惠泉啤酒,13.13,12.66,12.2
2025-06-10,12.92,13.12,12.51,12.62,107267.08,惠泉啤酒,13.07,12.74,12.25
2025-06-11,12.61,12.73,12.48,12.7,64482.54,惠泉啤酒,12.84,12.79,12.31
