date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,2.19,2.23,2.09,2.11,337666.02,文投控股,2.11,2.11,2.11
2025-03-25,2.12,2.17,2.12,2.15,215386.15,文投控股,2.13,2.13,2.13
2025-03-26,2.18,2.25,2.18,2.2,255241.0,文投控股,2.15,2.15,2.15
2025-03-27,2.2,2.23,2.18,2.2,203354.0,文投控股,2.16,2.16,2.16
2025-03-28,2.19,2.2,2.14,2.15,195316.0,文投控股,2.16,2.16,2.16
2025-03-31,2.14,2.16,2.13,2.13,147939.0,文投控股,2.17,2.16,2.16
2025-04-01,2.13,2.15,2.12,2.13,127476.0,文投控股,2.16,2.15,2.15
2025-04-02,2.13,2.14,2.11,2.12,96029.0,文投控股,2.15,2.15,2.15
2025-04-03,2.13,2.15,2.11,2.15,182982.3,文投控股,2.14,2.15,2.15
2025-04-07,2.04,2.07,2.04,2.04,215898.0,文投控股,2.11,2.14,2.14
2025-04-08,1.98,2.01,1.94,1.94,346227.0,文投控股,2.08,2.12,2.12
2025-04-09,1.9,1.97,1.84,1.95,332795.0,文投控股,2.04,2.1,2.11
2025-04-10,2.05,2.05,2.04,2.05,81878.0,文投控股,2.03,2.09,2.1
2025-04-11,2.08,2.13,2.06,2.08,345110.0,文投控股,2.01,2.07,2.1
2025-04-14,2.12,2.13,2.09,2.12,205223.0,文投控股,2.03,2.07,2.1
2025-04-15,2.11,2.21,2.11,2.18,304977.68,文投控股,2.08,2.08,2.11
2025-04-16,2.17,2.21,2.15,2.17,202061.0,文投控股,2.12,2.08,2.11
2025-04-17,2.18,2.28,2.18,2.28,469232.42,文投控股,2.17,2.1,2.12
2025-04-18,2.27,2.34,2.24,2.34,505098.4,文投控股,2.22,2.11,2.13
2025-04-21,2.34,2.36,2.3,2.33,266487.0,文投控股,2.26,2.14,2.14
2025-04-22,2.34,2.43,2.34,2.39,406168.42,文投控股,2.3,2.19,2.16
2025-04-23,2.38,2.41,2.35,2.36,244413.31,文投控股,2.34,2.23,2.17
2025-04-24,2.39,2.42,2.36,2.39,243710.82,文投控股,2.36,2.26,2.17
2025-04-25,2.39,2.44,2.31,2.35,449700.18,文投控股,2.36,2.29,2.18
2025-04-28,2.34,2.35,2.24,2.25,388893.05,文投控股,2.35,2.3,2.19
2025-04-29,2.27,2.36,2.26,2.36,369872.0,文投控股,2.34,2.32,2.2
2025-05-06,2.36,2.6,2.26,2.5,1858329.86,文投控股,2.37,2.35,2.22
2025-05-07,2.46,2.56,2.42,2.44,1095608.22,文投控股,2.38,2.37,2.23
2025-05-08,2.44,2.45,2.36,2.39,732052.04,文投控股,2.39,2.38,2.25
2025-05-09,2.4,2.42,2.31,2.32,492797.0,文投控股,2.4,2.38,2.26
2025-05-12,2.33,2.37,2.32,2.36,501579.0,文投控股,2.4,2.37,2.28
2025-05-13,2.36,2.38,2.32,2.32,470869.98,文投控股,2.37,2.37,2.3
2025-05-14,2.31,2.33,2.28,2.31,350648.0,文投控股,2.34,2.36,2.31
2025-05-15,2.3,2.31,2.27,2.27,331311.6,文投控股,2.32,2.35,2.32
2025-05-16,2.27,2.31,2.25,2.27,275903.76,文投控股,2.31,2.35,2.33
2025-05-19,2.28,2.39,2.27,2.32,502453.04,文投控股,2.3,2.35,2.34
2025-05-20,2.3,2.37,2.29,2.35,407375.22,文投控股,2.3,2.34,2.34
2025-05-21,2.34,2.35,2.3,2.31,225115.0,文投控股,2.3,2.32,2.35
2025-05-22,2.3,2.32,2.25,2.26,266675.0,文投控股,2.3,2.31,2.34
2025-05-23,2.25,2.27,2.21,2.22,259045.0,文投控股,2.29,2.3,2.34
2025-05-26,2.24,2.28,2.22,2.27,240681.0,文投控股,2.28,2.29,2.33
2025-05-27,2.26,2.27,2.24,2.27,126257.0,文投控股,2.27,2.28,2.33
2025-05-28,2.27,2.32,2.24,2.3,285138.0,文投控股,2.26,2.28,2.32
2025-05-29,2.3,2.32,2.27,2.3,171958.0,文投控股,2.27,2.29,2.32
2025-05-30,2.31,2.35,2.29,2.31,312119.0,文投控股,2.29,2.29,2.32
2025-06-03,2.3,2.38,2.28,2.33,390999.0,文投控股,2.3,2.29,2.32
2025-06-04,2.33,2.39,2.33,2.36,451021.82,文投控股,2.32,2.29,2.31
2025-06-05,2.36,2.37,2.3,2.31,334263.0,文投控股,2.32,2.29,2.31
2025-06-06,2.33,2.54,2.31,2.41,1257642.26,文投控股,2.34,2.31,2.31
2025-06-09,2.39,2.53,2.36,2.5,1060901.0,文投控股,2.38,2.34,2.32
2025-06-10,2.5,2.53,2.44,2.49,716255.02,文投控股,2.41,2.36,2.32
2025-06-11,2.47,2.54,2.46,2.47,465616.0,文投控股,2.44,2.38,2.33
2025-06-12,2.47,2.5,2.45,2.46,378593.0,文投控股,2.47,2.39,2.34
2025-06-13,2.46,2.46,2.37,2.39,409552.0,文投控股,2.46,2.4,2.34
2025-06-16,2.36,2.42,2.36,2.4,341301.07,文投控股,2.44,2.41,2.35
2025-06-17,2.41,2.43,2.36,2.38,320699.02,文投控股,2.42,2.42,2.35
2025-06-18,2.36,2.38,2.32,2.32,327802.0,文投控股,2.39,2.41,2.35
2025-06-19,2.3,2.34,2.27,2.28,290344.0,文投控股,2.35,2.41,2.35
2025-06-20,2.3,2.33,2.24,2.26,303358.0,文投控股,2.33,2.4,2.35
