date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-27,19.6,20.63,18.6,19.92,363533.17,新奥股份,19.92,19.92,19.92
2025-03-28,19.9,20.16,19.19,19.94,168010.2,新奥股份,19.93,19.93,19.93
2025-03-31,19.96,20.34,19.42,19.59,147519.0,新奥股份,19.82,19.82,19.82
2025-04-01,19.6,19.79,19.4,19.78,64286.6,新奥股份,19.81,19.81,19.81
2025-04-02,19.73,19.77,19.21,19.24,115072.47,新奥股份,19.69,19.69,19.69
2025-04-03,19.17,19.94,19.04,19.87,129153.49,新奥股份,19.68,19.72,19.72
2025-04-07,19.19,19.47,18.51,19.36,234529.29,新奥股份,19.57,19.67,19.67
2025-04-08,19.16,19.7,18.92,19.7,164432.62,新奥股份,19.59,19.68,19.68
2025-04-09,19.6,19.94,19.3,19.94,134792.11,新奥股份,19.62,19.7,19.7
2025-04-10,19.94,19.94,19.45,19.66,158667.02,新奥股份,19.71,19.7,19.7
2025-04-11,19.7,19.71,19.3,19.46,65411.37,新奥股份,19.62,19.65,19.68
2025-04-14,19.5,19.57,19.31,19.5,80138.33,新奥股份,19.65,19.61,19.66
2025-04-15,19.47,19.72,19.41,19.66,62653.64,新奥股份,19.64,19.62,19.66
2025-04-16,19.65,19.7,19.39,19.63,68816.06,新奥股份,19.58,19.6,19.66
2025-04-17,19.63,19.63,19.24,19.31,79361.5,新奥股份,19.51,19.61,19.64
2025-04-18,19.25,19.3,19.06,19.22,55072.69,新奥股份,19.46,19.54,19.61
2025-04-21,19.3,19.72,19.23,19.63,113616.71,新奥股份,19.49,19.57,19.61
2025-04-22,19.62,19.79,19.44,19.61,70093.35,新奥股份,19.48,19.56,19.61
2025-04-23,19.62,19.66,19.39,19.44,55915.82,新奥股份,19.44,19.51,19.6
2025-04-24,19.44,19.77,19.42,19.65,61783.12,新奥股份,19.51,19.51,19.61
2025-04-25,19.64,19.87,19.42,19.85,80997.28,新奥股份,19.64,19.55,19.6
2025-04-28,19.69,20.37,19.59,20.1,92867.2,新奥股份,19.73,19.61,19.61
2025-04-29,20.07,20.16,19.84,19.93,52025.44,新奥股份,19.79,19.64,19.63
2025-04-30,20.0,20.05,19.66,19.76,54717.17,新奥股份,19.86,19.65,19.63
2025-05-06,19.79,19.85,19.45,19.75,73909.98,新奥股份,19.88,19.69,19.65
2025-05-07,20.0,20.0,19.64,19.74,59238.77,新奥股份,19.86,19.75,19.64
2025-05-08,19.67,19.91,19.61,19.85,48653.2,新奥股份,19.81,19.77,19.67
2025-05-09,19.85,19.96,19.52,19.62,80459.0,新奥股份,19.74,19.77,19.67
2025-05-12,19.7,19.74,19.52,19.7,40280.65,新奥股份,19.73,19.79,19.65
2025-05-13,19.7,19.75,19.44,19.58,63522.84,新奥股份,19.7,19.79,19.65
2025-05-14,19.56,19.57,19.33,19.43,98574.16,新奥股份,19.64,19.75,19.65
2025-05-15,19.38,19.52,19.33,19.4,76068.56,新奥股份,19.55,19.68,19.64
2025-05-16,19.39,19.45,19.25,19.43,60966.48,新奥股份,19.51,19.63,19.63
2025-05-19,19.43,19.7,19.41,19.46,79457.63,新奥股份,19.46,19.6,19.62
2025-05-20,19.53,19.63,19.43,19.5,65574.63,新奥股份,19.44,19.57,19.63
2025-05-21,19.56,19.65,19.43,19.57,52765.26,新奥股份,19.47,19.55,19.65
2025-05-22,19.52,19.55,19.4,19.41,41461.0,新奥股份,19.47,19.51,19.64
2025-05-23,19.41,19.53,19.2,19.2,61018.49,新奥股份,19.43,19.47,19.62
2025-05-26,19.13,19.17,18.8,18.83,87969.82,新奥股份,19.3,19.38,19.59
2025-05-27,18.79,18.99,18.78,18.82,42808.56,新奥股份,19.17,19.3,19.55
2025-05-28,18.83,18.92,18.77,18.83,33175.59,新奥股份,19.02,19.24,19.5
2025-05-29,18.82,18.99,18.76,18.98,46812.92,新奥股份,18.93,19.2,19.44
2025-05-30,19.0,19.17,18.72,18.96,92821.0,新奥股份,18.88,19.16,19.39
2025-06-03,18.89,19.23,18.75,19.2,83012.53,新奥股份,18.96,19.13,19.36
2025-06-04,19.22,19.32,19.09,19.12,36275.46,新奥股份,19.02,19.09,19.33
2025-06-05,19.15,19.2,19.06,19.07,24124.38,新奥股份,19.07,19.04,19.3
2025-06-06,19.1,19.28,19.06,19.22,35215.49,新奥股份,19.11,19.02,19.27
2025-06-09,19.22,19.26,19.03,19.18,44601.71,新奥股份,19.16,19.02,19.24
2025-06-10,19.18,19.22,19.0,19.07,45988.61,新奥股份,19.13,19.04,19.21
2025-06-11,19.13,19.19,19.02,19.09,34043.71,新奥股份,19.13,19.07,19.19
2025-06-12,19.07,19.16,18.92,18.97,35513.75,新奥股份,19.11,19.09,19.17
2025-06-13,19.01,19.22,18.99,19.08,53025.83,新奥股份,19.08,19.1,19.15
2025-06-16,19.28,19.33,18.81,18.85,102661.79,新奥股份,19.01,19.08,19.12
2025-06-17,18.8,19.06,18.75,18.86,43042.1,新奥股份,18.97,19.05,19.09
2025-06-18,18.9,18.9,18.72,18.73,34675.25,新奥股份,18.9,19.01,19.05
2025-06-19,18.71,18.8,18.43,18.74,56606.75,新奥股份,18.85,18.98,19.01
2025-06-20,18.73,18.78,18.56,18.56,39962.55,新奥股份,18.75,18.91,18.97
2025-06-23,18.56,18.85,18.56,18.7,38423.0,新奥股份,18.72,18.87,18.94
2025-06-24,18.7,18.84,18.43,18.84,56397.2,新奥股份,18.71,18.84,18.94
2025-06-25,18.78,18.86,18.66,18.76,37267.4,新奥股份,18.72,18.81,18.94
2025-06-26,18.75,18.94,18.63,18.71,55126.0,新奥股份,18.71,18.78,18.93
2025-06-27,18.64,18.78,18.63,18.7,34715.2,新奥股份,18.74,18.74,18.92
2025-06-30,18.71,18.99,18.65,18.9,57748.85,新奥股份,18.78,18.75,18.92
2025-07-01,18.92,18.99,18.71,18.8,60236.44,新奥股份,18.77,18.74,18.9
2025-07-02,18.78,19.44,18.75,19.38,116196.97,新奥股份,18.9,18.81,18.91
2025-07-03,19.38,20.05,19.28,19.89,146487.72,新奥股份,19.13,18.92,18.95
2025-07-04,19.93,20.02,19.54,19.63,80377.0,新奥股份,19.32,19.03,18.97
2025-07-07,19.7,19.85,19.52,19.82,55017.57,新奥股份,19.5,19.14,19.0
2025-07-08,19.82,19.95,19.48,19.5,58808.43,新奥股份,19.64,19.21,19.03
2025-07-09,19.5,19.59,19.18,19.2,73556.76,新奥股份,19.61,19.25,19.03
2025-07-10,19.25,19.36,19.14,19.14,49637.0,新奥股份,19.46,19.3,19.04
