date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,17.52,17.7,17.41,17.51,173694.0,宝丰能源,17.51,17.51,17.51
2025-03-25,17.53,17.88,17.41,17.83,228876.99,宝丰能源,17.67,17.67,17.67
2025-03-26,17.78,18.07,17.52,17.62,196670.24,宝丰能源,17.65,17.65,17.65
2025-03-27,16.48,16.6,15.86,15.86,780540.33,宝丰能源,17.2,17.2,17.2
2025-03-28,15.0,15.68,14.69,15.3,2241746.92,宝丰能源,16.82,16.82,16.82
2025-03-31,15.2,15.26,14.46,14.53,971235.08,宝丰能源,16.23,16.44,16.44
2025-04-01,14.64,15.08,14.4,15.0,771768.24,宝丰能源,15.66,16.24,16.24
2025-04-02,15.07,15.78,14.8,15.75,895556.62,宝丰能源,15.29,16.18,16.18
2025-04-03,15.58,15.73,15.24,15.39,552444.48,宝丰能源,15.19,16.09,16.09
2025-04-07,14.32,14.76,13.85,14.3,705414.04,宝丰能源,14.99,15.91,15.91
2025-04-08,14.44,15.0,14.12,15.0,689088.45,宝丰能源,15.09,15.66,15.83
2025-04-09,14.84,14.84,14.02,14.71,609185.16,宝丰能源,15.03,15.35,15.73
2025-04-10,15.16,15.64,14.45,15.48,723196.02,宝丰能源,14.98,15.13,15.71
2025-04-11,15.49,15.49,15.12,15.4,347558.41,宝丰能源,14.98,15.09,15.69
2025-04-14,15.4,15.56,15.16,15.3,275387.52,宝丰能源,15.18,15.09,15.67
2025-04-15,15.3,15.31,14.98,15.09,255283.51,宝丰能源,15.2,15.14,15.63
2025-04-16,15.09,15.13,14.68,15.13,280093.6,宝丰能源,15.28,15.16,15.6
2025-04-17,15.13,15.2,14.83,15.01,234708.23,宝丰能源,15.19,15.08,15.57
2025-04-18,15.03,15.35,14.89,15.29,202068.04,宝丰能源,15.16,15.07,15.55
2025-04-21,15.15,15.53,15.15,15.46,171138.62,宝丰能源,15.2,15.19,15.55
2025-04-22,15.45,15.75,15.41,15.64,179532.76,宝丰能源,15.31,15.25,15.45
2025-04-23,15.81,16.32,15.79,16.0,396341.66,宝丰能源,15.48,15.38,15.36
2025-04-24,15.94,15.95,15.52,15.55,296635.93,宝丰能源,15.59,15.39,15.26
2025-04-25,15.6,15.68,15.49,15.65,156586.62,宝丰能源,15.66,15.41,15.25
2025-04-28,15.7,15.96,15.51,15.95,348388.41,宝丰能源,15.76,15.48,15.28
2025-04-29,15.88,16.31,15.88,16.06,285147.29,宝丰能源,15.84,15.57,15.36
2025-04-30,16.09,16.19,15.87,16.03,254232.07,宝丰能源,15.85,15.66,15.41
2025-05-06,15.96,16.0,15.45,15.78,408671.16,宝丰能源,15.89,15.74,15.41
2025-05-07,15.95,16.02,15.68,15.79,239616.46,宝丰能源,15.92,15.79,15.43
