date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,5.19,5.21,5.06,5.17,355175.0,海南橡胶,5.17,5.17,5.17
2025-03-25,5.14,5.33,5.13,5.32,560432.58,海南橡胶,5.24,5.24,5.24
2025-03-26,5.3,5.31,5.21,5.22,376045.02,海南橡胶,5.24,5.24,5.24
2025-03-27,5.21,5.23,5.13,5.22,244542.27,海南橡胶,5.23,5.23,5.23
2025-03-28,5.21,5.23,5.1,5.11,244674.65,海南橡胶,5.21,5.21,5.21
2025-03-31,5.11,5.12,4.99,5.0,336890.94,海南橡胶,5.17,5.17,5.17
2025-04-01,5.0,5.1,4.99,5.08,255825.0,海南橡胶,5.13,5.16,5.16
2025-04-02,5.06,5.53,5.03,5.24,770691.28,海南橡胶,5.13,5.17,5.17
2025-04-03,5.1,5.13,5.0,5.03,764266.63,海南橡胶,5.09,5.15,5.15
2025-04-07,4.56,4.79,4.53,4.53,690313.0,海南橡胶,4.98,5.09,5.09
2025-04-08,4.54,4.66,4.48,4.63,994153.79,海南橡胶,4.9,5.04,5.05
2025-04-09,4.51,4.72,4.38,4.67,1251664.67,海南橡胶,4.82,4.97,5.02
2025-04-10,4.72,4.78,4.66,4.7,758782.78,海南橡胶,4.71,4.92,4.99
2025-04-11,4.68,4.75,4.62,4.7,483568.47,海南橡胶,4.65,4.87,4.97
2025-04-14,4.74,4.92,4.72,4.82,576309.11,海南橡胶,4.7,4.84,4.96
2025-04-15,4.8,4.8,4.66,4.68,448580.0,海南橡胶,4.71,4.81,4.94
2025-04-16,4.68,4.68,4.51,4.54,483919.19,海南橡胶,4.69,4.75,4.92
2025-04-17,4.51,4.6,4.5,4.56,265538.9,海南橡胶,4.66,4.69,4.9
2025-04-18,4.57,4.57,4.51,4.54,214237.0,海南橡胶,4.63,4.64,4.88
2025-04-21,4.54,4.6,4.52,4.58,213462.0,海南橡胶,4.58,4.64,4.87
2025-04-22,4.57,4.62,4.57,4.59,213173.46,海南橡胶,4.56,4.64,4.84
2025-04-23,4.61,4.64,4.57,4.59,242829.01,海南橡胶,4.57,4.63,4.8
2025-04-24,4.6,4.64,4.56,4.57,268397.0,海南橡胶,4.57,4.62,4.77
2025-04-25,4.58,4.64,4.56,4.59,248660.02,海南橡胶,4.58,4.61,4.74
2025-04-28,4.6,4.6,4.47,4.5,356125.6,海南橡胶,4.57,4.57,4.71
2025-04-29,4.48,4.51,4.46,4.47,252254.78,海南橡胶,4.54,4.55,4.68
2025-04-30,4.48,4.54,4.47,4.5,244688.22,海南橡胶,4.53,4.55,4.65
2025-05-06,4.53,4.64,4.53,4.62,407834.78,海南橡胶,4.54,4.56,4.62
2025-05-07,4.67,4.68,4.62,4.67,335759.01,海南橡胶,4.55,4.57,4.6
2025-05-08,4.65,4.7,4.61,4.67,238853.07,海南橡胶,4.59,4.58,4.61
2025-05-09,4.69,4.69,4.61,4.62,188253.14,海南橡胶,4.62,4.58,4.61
2025-05-12,4.65,4.67,4.61,4.67,209386.64,海南橡胶,4.65,4.59,4.61
2025-05-13,4.7,4.74,4.65,4.7,296694.2,海南橡胶,4.67,4.6,4.61
2025-05-14,4.71,4.8,4.69,4.76,362036.5,海南橡胶,4.68,4.62,4.61
2025-05-15,4.74,4.74,4.67,4.68,232194.31,海南橡胶,4.69,4.64,4.61
2025-05-16,4.68,4.68,4.63,4.65,195865.1,海南橡胶,4.69,4.65,4.6
2025-05-19,4.65,4.7,4.63,4.7,187359.0,海南橡胶,4.7,4.67,4.61
2025-05-20,4.69,4.7,4.66,4.69,164656.92,海南橡胶,4.7,4.68,4.62
2025-05-21,4.67,4.69,4.65,4.68,143165.5,海南橡胶,4.68,4.68,4.62
2025-05-22,4.67,4.68,4.62,4.63,202780.59,海南橡胶,4.67,4.68,4.63
2025-05-23,4.63,4.65,4.57,4.59,295882.21,海南橡胶,4.66,4.68,4.63
2025-05-26,4.59,4.61,4.55,4.59,140568.86,海南橡胶,4.64,4.67,4.63
2025-05-27,4.6,4.61,4.54,4.59,192459.0,海南橡胶,4.62,4.66,4.63
2025-05-28,4.58,4.59,4.55,4.56,165926.22,海南橡胶,4.59,4.64,4.63
2025-05-29,4.56,4.61,4.55,4.6,175005.55,海南橡胶,4.59,4.63,4.63
2025-05-30,4.59,4.61,4.55,4.56,184034.29,海南橡胶,4.58,4.62,4.64
2025-06-03,4.56,4.6,4.54,4.58,147254.54,海南橡胶,4.58,4.61,4.64
2025-06-04,4.59,4.66,4.57,4.65,230908.31,海南橡胶,4.59,4.6,4.64
2025-06-05,4.65,4.68,4.62,4.64,211761.0,海南橡胶,4.61,4.6,4.64
2025-06-06,4.66,4.85,4.66,4.77,752605.52,海南橡胶,4.64,4.61,4.65
2025-06-09,4.72,4.79,4.69,4.73,389816.51,海南橡胶,4.67,4.63,4.65
2025-06-10,4.75,4.75,4.67,4.7,247379.99,海南橡胶,4.7,4.64,4.65
2025-06-11,4.7,4.76,4.68,4.76,234861.64,海南橡胶,4.72,4.65,4.66
2025-06-12,4.74,4.75,4.68,4.7,211831.0,海南橡胶,4.73,4.67,4.65
2025-06-13,4.7,4.8,4.67,4.73,395729.3,海南橡胶,4.72,4.68,4.65
2025-06-16,4.7,4.73,4.67,4.68,224066.0,海南橡胶,4.71,4.69,4.66
2025-06-17,4.69,4.7,4.65,4.68,172729.0,海南橡胶,4.71,4.7,4.66
2025-06-18,4.7,4.73,4.65,4.67,251036.8,海南橡胶,4.69,4.71,4.65
2025-06-19,4.65,4.71,4.56,4.59,241143.27,海南橡胶,4.67,4.7,4.65
2025-06-20,4.61,4.65,4.59,4.61,210611.59,海南橡胶,4.65,4.69,4.65
2025-06-23,4.58,4.68,4.58,4.67,235987.0,海南橡胶,4.64,4.68,4.65
2025-06-24,4.66,4.71,4.64,4.7,231527.29,海南橡胶,4.65,4.68,4.66
2025-06-25,4.7,4.74,4.67,4.73,202155.0,海南橡胶,4.66,4.68,4.67
2025-06-26,4.73,4.75,4.68,4.72,250723.99,海南橡胶,4.69,4.68,4.67
2025-06-27,4.72,4.77,4.71,4.71,192676.98,海南橡胶,4.71,4.68,4.68
2025-06-30,4.73,4.75,4.7,4.72,195625.99,海南橡胶,4.72,4.68,4.69
2025-07-01,4.71,4.82,4.71,4.78,332730.02,海南橡胶,4.73,4.69,4.7
2025-07-02,4.79,4.88,4.76,4.85,360139.0,海南橡胶,4.76,4.71,4.71
2025-07-03,4.85,4.87,4.81,4.81,217545.0,海南橡胶,4.77,4.73,4.72
2025-07-04,4.82,4.85,4.79,4.8,215126.01,海南橡胶,4.79,4.75,4.72
2025-07-07,4.78,4.82,4.76,4.81,152664.0,海南橡胶,4.81,4.76,4.72
2025-07-08,4.8,4.83,4.77,4.82,207484.0,海南橡胶,4.82,4.78,4.73
2025-07-09,4.82,4.86,4.79,4.82,210890.01,海南橡胶,4.81,4.78,4.73
2025-07-10,4.85,4.92,4.83,4.91,313076.01,海南橡胶,4.83,4.8,4.74
2025-07-11,4.9,4.95,4.86,4.91,235304.01,海南橡胶,4.85,4.82,4.75
