date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,17.46,17.56,17.4,17.51,502533.52,国泰海通,17.51,17.51,17.51
2025-03-25,17.51,17.56,17.42,17.53,328496.53,国泰海通,17.52,17.52,17.52
2025-03-26,17.49,17.55,17.42,17.46,363291.36,国泰海通,17.5,17.5,17.5
2025-03-27,17.44,17.62,17.4,17.5,377986.22,国泰海通,17.5,17.5,17.5
2025-03-28,17.53,17.57,17.43,17.43,345215.08,国泰海通,17.49,17.49,17.49
2025-03-31,17.43,17.55,17.12,17.2,606632.69,国泰海通,17.42,17.44,17.44
2025-04-01,17.2,17.26,17.08,17.21,408295.82,国泰海通,17.36,17.41,17.41
2025-04-02,17.19,17.3,17.16,17.25,288385.04,国泰海通,17.32,17.39,17.39
2025-04-03,17.08,17.27,17.06,17.13,298542.44,国泰海通,17.24,17.36,17.36
2025-04-07,16.2,16.48,15.42,15.44,1418532.45,国泰海通,16.85,17.17,17.17
2025-04-08,15.81,16.04,15.54,16.03,1343862.82,国泰海通,16.61,17.02,17.06
2025-04-09,15.9,16.29,15.82,16.2,864139.57,国泰海通,16.41,16.89,16.99
2025-04-10,16.45,16.75,16.31,16.59,923354.3,国泰海通,16.28,16.8,16.96
2025-04-11,16.8,17.09,16.67,16.75,765364.73,国泰海通,16.2,16.72,16.94
2025-04-14,16.84,16.89,16.68,16.69,458610.48,国泰海通,16.45,16.65,16.93
2025-04-15,16.72,16.79,16.62,16.77,400419.01,国泰海通,16.6,16.61,16.92
2025-04-16,16.78,16.8,16.61,16.78,544348.28,国泰海通,16.72,16.56,16.91
2025-04-17,16.74,16.85,16.67,16.84,515733.24,国泰海通,16.77,16.52,16.91
2025-04-18,16.79,16.87,16.74,16.84,336679.52,国泰海通,16.78,16.49,16.9
2025-04-21,16.81,17.08,16.79,16.99,449776.63,国泰海通,16.84,16.65,16.91
2025-04-22,16.99,17.14,16.94,17.06,397847.94,国泰海通,16.9,16.75,16.88
2025-04-23,17.11,17.16,17.0,17.1,389566.08,国泰海通,16.97,16.84,16.86
2025-04-24,17.1,17.17,17.05,17.1,404678.92,国泰海通,17.02,16.89,16.84
2025-04-25,17.16,17.25,17.1,17.21,396246.93,国泰海通,17.09,16.94,16.83
2025-04-28,17.19,17.25,17.06,17.21,384172.07,国泰海通,17.14,16.99,16.82
2025-04-29,17.19,17.28,17.12,17.18,366732.75,国泰海通,17.16,17.03,16.82
2025-04-30,17.26,17.33,17.18,17.23,470750.59,国泰海通,17.19,17.08,16.82
2025-05-06,17.33,17.34,17.16,17.27,567203.32,国泰海通,17.22,17.12,16.82
2025-05-07,17.65,17.69,17.31,17.37,669011.39,国泰海通,17.25,17.17,16.83
2025-05-08,17.27,17.4,17.24,17.39,472479.29,国泰海通,17.29,17.21,16.93
2025-05-09,17.36,17.43,17.31,17.35,359727.27,国泰海通,17.32,17.24,17.0
2025-05-12,17.41,17.67,17.36,17.62,708105.81,国泰海通,17.4,17.29,17.07
2025-05-13,17.7,17.73,17.52,17.59,446977.61,国泰海通,17.46,17.34,17.12
2025-05-14,17.59,18.19,17.57,18.08,1326147.32,国泰海通,17.61,17.43,17.18
2025-05-15,18.0,18.13,17.88,17.89,537415.07,国泰海通,17.71,17.5,17.24
2025-05-16,17.88,17.93,17.67,17.78,426235.81,国泰海通,17.79,17.56,17.29
2025-05-19,17.72,17.8,17.63,17.65,283002.48,国泰海通,17.8,17.6,17.34
2025-05-20,17.69,17.74,17.61,17.65,280008.92,国泰海通,17.81,17.64,17.38
2025-05-21,17.65,17.7,17.59,17.59,275559.4,国泰海通,17.71,17.66,17.42
2025-05-22,17.6,17.67,17.52,17.64,237716.06,国泰海通,17.66,17.68,17.45
2025-05-23,17.63,17.71,17.45,17.46,324285.03,国泰海通,17.6,17.7,17.47
2025-05-26,17.46,17.51,17.3,17.38,254761.83,国泰海通,17.54,17.67,17.48
2025-05-27,17.4,17.43,17.22,17.33,272198.86,国泰海通,17.48,17.64,17.49
2025-05-28,17.31,17.34,17.22,17.23,181169.15,国泰海通,17.41,17.56,17.49
2025-05-29,17.26,17.45,17.22,17.34,322867.77,国泰海通,17.35,17.5,17.5
2025-05-30,17.32,17.39,17.12,17.18,524761.14,国泰海通,17.29,17.44,17.5
2025-06-03,17.37,18.05,17.22,17.86,1453288.14,国泰海通,17.39,17.47,17.53
2025-06-04,17.82,18.07,17.8,18.05,754846.83,国泰海通,17.53,17.51,17.57
2025-06-05,18.05,18.55,18.01,18.43,1181462.23,国泰海通,17.77,17.59,17.62
2025-06-06,18.42,18.55,18.38,18.5,753392.93,国泰海通,18.0,17.68,17.68
2025-06-09,18.55,18.7,18.48,18.55,784967.3,国泰海通,18.28,17.78,17.74
2025-06-10,18.57,18.88,18.43,18.51,1046970.13,国泰海通,18.41,17.9,17.78
2025-06-11,18.59,18.89,18.52,18.63,832155.82,国泰海通,18.52,18.03,17.84
2025-06-12,18.59,18.65,18.31,18.43,911982.04,国泰海通,18.52,18.15,17.85
2025-06-13,18.48,18.53,18.11,18.2,2021804.64,国泰海通,18.46,18.23,17.87
2025-06-16,18.17,18.47,18.13,18.43,812895.64,国泰海通,18.44,18.36,17.9
2025-06-17,18.43,18.68,18.41,18.67,695190.66,国泰海通,18.47,18.44,17.95
2025-06-18,18.64,18.71,18.37,18.45,433293.62,国泰海通,18.44,18.48,17.99
2025-06-19,18.47,18.51,18.27,18.33,520973.15,国泰海通,18.42,18.47,18.03
2025-06-20,18.37,18.49,18.34,18.44,426509.04,国泰海通,18.46,18.46,18.07
2025-06-23,18.33,18.57,18.26,18.44,399168.01,国泰海通,18.47,18.45,18.12
2025-06-24,18.5,18.86,18.5,18.6,828514.08,国泰海通,18.45,18.46,18.18
2025-06-25,19.1,20.34,18.91,20.29,3707511.61,国泰海通,18.82,18.63,18.33
2025-06-26,20.32,20.34,19.4,19.42,3242356.58,国泰海通,19.04,18.73,18.44
2025-06-27,19.3,19.8,19.18,19.22,2007603.59,国泰海通,19.19,18.83,18.53
2025-06-30,19.2,19.36,19.01,19.16,971667.06,国泰海通,19.34,18.9,18.63
2025-07-01,19.21,19.39,19.06,19.27,725333.56,国泰海通,19.47,18.96,18.7
2025-07-02,19.25,19.27,19.08,19.2,552598.71,国泰海通,19.25,19.04,18.76
2025-07-03,19.17,19.3,19.17,19.28,484662.13,国泰海通,19.23,19.13,18.8
2025-07-04,19.26,19.59,19.11,19.34,870100.53,国泰海通,19.25,19.22,18.84
2025-07-07,19.28,19.41,19.23,19.28,398231.03,国泰海通,19.27,19.31,18.88
2025-07-08,19.29,19.48,19.24,19.42,590946.94,国泰海通,19.3,19.39,18.92
2025-07-09,19.47,19.57,19.25,19.28,729843.87,国泰海通,19.32,19.29,18.96
2025-07-10,19.28,19.58,19.25,19.39,936331.17,国泰海通,19.34,19.28,19.01
2025-07-11,19.8,20.44,19.69,19.9,2559936.6,国泰海通,19.45,19.35,19.09
2025-07-14,19.9,19.93,19.58,19.59,1086627.71,国泰海通,19.52,19.4,19.15
2025-07-15,19.56,19.68,19.28,19.36,979629.29,国泰海通,19.5,19.4,19.18
2025-07-16,19.4,19.44,19.19,19.25,563407.32,国泰海通,19.5,19.41,19.22
2025-07-17,19.3,19.33,19.15,19.3,588990.84,国泰海通,19.48,19.41,19.27
2025-07-18,19.35,19.76,19.32,19.65,949921.41,国泰海通,19.43,19.44,19.33
2025-07-21,19.65,20.06,19.63,19.81,1211337.15,国泰海通,19.47,19.5,19.4
2025-07-22,19.85,19.85,19.54,19.78,727424.81,国泰海通,19.56,19.53,19.46
2025-07-23,19.79,20.23,19.79,20.0,1554842.76,国泰海通,19.71,19.6,19.44
2025-07-24,19.9,20.41,19.84,20.3,1418042.1,国泰海通,19.91,19.69,19.49
2025-07-25,20.36,20.53,20.18,20.49,1359268.73,国泰海通,20.08,19.75,19.55
2025-07-28,20.6,20.98,20.25,20.79,2159840.29,国泰海通,20.27,19.87,19.63
2025-07-29,20.68,21.17,20.41,21.1,1683650.24,国泰海通,20.54,20.05,19.73
2025-07-30,21.13,21.14,20.69,20.86,1181381.91,国泰海通,20.71,20.21,19.81
2025-07-31,20.65,20.81,20.17,20.3,1460904.13,国泰海通,20.71,20.31,19.86
2025-08-01,20.3,20.37,19.97,19.98,850412.64,国泰海通,20.61,20.34,19.89
2025-08-04,19.94,20.22,19.92,20.06,834607.82,国泰海通,20.46,20.37,19.93
2025-08-05,20.12,20.18,19.98,20.09,758121.14,国泰海通,20.26,20.4,19.96
2025-08-06,20.1,20.29,20.02,20.2,727800.63,国泰海通,20.13,20.42,20.01
2025-08-07,20.25,20.53,20.11,20.19,831521.31,国泰海通,20.1,20.41,20.05
2025-08-08,20.16,20.18,19.99,20.0,568715.96,国泰海通,20.11,20.36,20.06
2025-08-11,19.99,20.2,19.95,20.05,900995.45,国泰海通,20.11,20.28,20.08
2025-08-12,20.09,20.17,20.01,20.07,658331.61,国泰海通,20.1,20.18,20.11
2025-08-13,20.12,20.43,20.02,20.13,1799700.85,国泰海通,20.09,20.11,20.16
2025-08-14,20.2,20.54,20.14,20.2,1630024.96,国泰海通,20.09,20.1,20.2
2025-08-15,20.13,20.9,20.06,20.62,2451301.84,国泰海通,20.21,20.16,20.25
2025-08-18,20.8,21.01,20.47,20.7,2339567.48,国泰海通,20.34,20.23,20.3
2025-08-19,20.7,20.86,20.39,20.39,1300858.02,国泰海通,20.41,20.26,20.33
2025-08-20,20.34,20.71,20.21,20.7,1214780.52,国泰海通,20.52,20.3,20.36
2025-08-21,20.98,21.1,20.76,20.86,1389114.29,国泰海通,20.65,20.37,20.39
2025-08-22,20.79,21.58,20.75,21.5,1970834.05,国泰海通,20.83,20.52,20.44
2025-08-25,21.7,21.87,21.36,21.64,1740723.48,国泰海通,21.02,20.68,20.48
2025-08-26,21.51,21.69,21.38,21.41,833552.17,国泰海通,21.22,20.82,20.5
2025-08-27,21.39,21.53,20.78,20.8,1399422.72,国泰海通,21.24,20.88,20.49
2025-08-28,20.78,21.08,20.64,21.06,1087865.8,国泰海通,21.28,20.97,20.53
2025-08-29,21.19,21.38,20.88,20.97,1610241.61,国泰海通,21.18,21.0,20.58
2025-09-01,21.06,21.19,20.62,20.63,1275017.59,国泰海通,20.97,21.0,20.61
2025-09-02,20.65,20.74,20.2,20.4,1192273.15,国泰海通,20.77,21.0,20.63
2025-09-03,20.45,20.49,19.65,19.78,1325305.99,国泰海通,20.57,20.9,20.6
2025-09-04,19.77,19.85,19.42,19.59,1244515.11,国泰海通,20.27,20.78,20.58
2025-09-05,19.65,19.84,19.5,19.76,740209.99,国泰海通,20.03,20.6,20.56
2025-09-08,19.76,19.81,19.41,19.51,906038.44,国泰海通,19.81,20.39,20.54
