date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,15.28,15.43,15.2,15.37,345643.76,中创智领,15.37,15.37,15.37
2025-03-25,15.4,15.59,15.04,15.12,391033.34,中创智领,15.24,15.24,15.24
2025-03-26,15.12,15.12,14.94,15.01,247253.91,中创智领,15.17,15.17,15.17
2025-03-27,15.08,15.45,14.86,15.35,428341.48,中创智领,15.21,15.21,15.21
2025-03-28,15.35,15.39,15.02,15.17,326677.94,中创智领,15.2,15.2,15.2
2025-03-31,15.63,16.13,15.58,15.85,763519.5,中创智领,15.3,15.31,15.31
2025-04-01,15.94,15.98,15.38,15.39,458513.38,中创智领,15.35,15.32,15.32
2025-04-02,15.42,15.87,15.34,15.52,414292.08,中创智领,15.46,15.35,15.35
2025-04-03,15.43,15.47,15.18,15.3,346910.51,中创智领,15.45,15.34,15.34
2025-04-07,14.4,14.47,13.77,13.93,697944.42,中创智领,15.2,15.2,15.2
2025-04-08,14.14,14.32,13.83,13.97,593041.29,中创智领,14.82,15.06,15.09
2025-04-09,13.78,14.02,13.36,13.92,506053.96,中创智领,14.53,14.94,14.99
2025-04-10,14.26,14.42,14.08,14.15,414371.0,中创智领,14.25,14.86,14.93
2025-04-11,14.08,14.23,14.01,14.15,272657.4,中创智领,14.02,14.74,14.87
2025-04-14,14.39,14.54,14.19,14.46,397681.14,中创智领,14.13,14.66,14.84
2025-04-15,14.48,14.56,14.37,14.5,194264.0,中创智领,14.24,14.53,14.82
2025-04-16,14.42,14.51,14.18,14.33,233131.22,中创智领,14.32,14.42,14.79
2025-04-17,14.27,14.38,14.21,14.24,173361.58,中创智领,14.34,14.29,14.76
2025-04-18,14.25,14.66,14.25,14.44,232167.45,中创智领,14.39,14.21,14.75
2025-04-21,14.47,14.88,14.38,14.8,354797.22,中创智领,14.46,14.3,14.75
2025-04-22,14.8,15.12,14.75,14.93,244489.85,中创智领,14.55,14.39,14.73
2025-04-23,15.06,15.17,14.91,15.08,243622.52,中创智领,14.7,14.51,14.72
2025-04-24,15.1,15.24,15.06,15.12,221201.25,中创智领,14.87,14.6,14.73
2025-04-25,15.18,15.19,14.98,15.07,197727.42,中创智领,15.0,14.7,14.72
2025-04-28,15.14,15.14,14.92,15.0,163479.05,中创智领,15.04,14.75,14.71
2025-04-29,15.29,15.56,15.01,15.05,402061.0,中创智领,15.06,14.81,14.67
2025-04-30,15.01,15.11,14.9,14.92,259927.69,中创智领,15.03,14.86,14.64
2025-05-06,14.95,15.38,14.93,15.37,353537.73,中创智领,15.08,14.98,14.64
2025-05-07,15.43,15.53,15.33,15.44,255593.14,中创智领,15.16,15.08,14.64
2025-05-08,15.38,15.5,15.33,15.38,190549.58,中创智领,15.23,15.14,14.72
2025-05-09,15.38,15.62,15.31,15.47,261488.65,中创智领,15.32,15.19,14.79
2025-05-12,15.53,15.6,15.4,15.55,208079.76,中创智领,15.44,15.24,14.87
2025-05-13,15.66,15.68,15.53,15.55,174633.7,中创智领,15.48,15.28,14.94
2025-05-14,15.55,15.63,15.43,15.58,190524.32,中创智领,15.51,15.33,15.01
2025-05-15,15.58,15.58,15.38,15.39,178409.35,中创智领,15.51,15.37,15.06
2025-05-16,15.38,15.53,15.37,15.47,135839.36,中创智领,15.51,15.41,15.11
2025-05-19,15.54,15.62,15.41,15.6,152429.03,中创智领,15.52,15.48,15.17
2025-05-20,15.79,16.08,15.62,15.86,292746.0,中创智领,15.58,15.53,15.25
2025-05-21,15.89,16.15,15.82,16.08,238787.71,中创智领,15.68,15.59,15.34
2025-05-22,16.03,16.18,15.98,16.08,191845.65,中创智领,15.82,15.66,15.4
2025-05-23,16.09,16.8,16.09,16.35,429233.9,中创智领,15.99,15.75,15.47
2025-05-26,16.33,16.79,16.31,16.55,423875.45,中创智领,16.18,15.85,15.54
2025-05-27,16.58,16.63,16.29,16.45,226353.52,中创智领,16.3,15.94,15.61
2025-05-28,16.5,16.63,16.4,16.56,160853.37,中创智领,16.4,16.04,15.68
2025-05-29,16.57,16.61,16.48,16.54,180937.53,中创智领,16.49,16.15,15.76
2025-05-30,16.52,16.7,16.42,16.55,195065.05,中创智领,16.53,16.26,15.84
2025-06-03,16.49,16.57,16.24,16.47,218447.85,中创智领,16.51,16.35,15.91
2025-06-04,16.49,16.7,16.31,16.33,216982.77,中创智领,16.49,16.4,15.96
2025-06-05,16.33,16.59,16.31,16.57,210091.3,中创智领,16.49,16.44,16.02
2025-06-06,16.6,16.69,16.48,16.64,143026.0,中创智领,16.51,16.5,16.08
2025-06-09,16.68,17.04,16.68,17.02,295989.06,中创智领,16.61,16.57,16.16
2025-06-10,17.07,17.18,16.86,17.15,221338.18,中创智领,16.74,16.63,16.24
2025-06-11,17.18,17.56,17.17,17.41,215352.51,中创智领,16.96,16.72,16.33
2025-06-12,17.45,17.63,17.28,17.61,204711.63,中创智领,17.17,16.83,16.43
2025-06-13,17.56,17.65,17.23,17.49,308800.87,中创智领,17.34,16.92,16.54
2025-06-16,17.57,17.87,17.32,17.41,234126.01,中创智领,17.41,17.01,16.64
2025-06-17,17.5,17.54,17.14,17.21,231410.01,中创智领,17.43,17.08,16.72
2025-06-18,17.23,17.46,17.22,17.34,148479.73,中创智领,17.41,17.18,16.79
2025-06-19,17.3,17.35,16.89,16.95,257013.06,中创智领,17.28,17.22,16.83
2025-06-20,16.95,17.06,16.66,16.7,262053.16,中创智领,17.12,17.23,16.87
2025-06-23,16.67,16.85,16.57,16.78,230773.28,中创智领,17.0,17.21,16.89
2025-06-24,16.85,17.13,16.75,17.02,197567.35,中创智领,16.96,17.19,16.91
2025-06-25,17.04,17.09,16.79,16.88,232638.0,中创智领,16.87,17.14,16.93
2025-06-26,16.89,16.94,16.79,16.89,159450.37,中创智领,16.85,17.07,16.95
2025-06-27,16.9,17.11,16.82,16.86,171298.02,中创智领,16.89,17.0,16.96
2025-06-30,16.85,16.89,16.56,16.62,234503.0,中创智领,16.85,16.92,16.97
2025-07-01,16.62,16.66,16.47,16.56,154440.56,中创智领,16.76,16.86,16.97
2025-07-02,16.56,16.7,16.52,16.65,155302.18,中创智领,16.72,16.79,16.99
2025-07-03,16.65,16.68,16.46,16.6,130180.0,中创智领,16.66,16.76,16.99
2025-07-04,16.57,16.58,16.46,16.48,135260.35,中创智领,16.58,16.73,16.98
2025-07-07,16.42,16.43,16.24,16.36,161089.0,中创智领,16.53,16.69,16.95
2025-07-08,16.45,16.93,16.45,16.76,379840.88,中创智领,16.57,16.67,16.93
2025-07-09,16.76,16.76,16.51,16.53,213191.0,中创智领,16.55,16.63,16.88
2025-07-10,16.65,16.9,16.6,16.9,245268.19,中创智领,16.61,16.63,16.85
2025-07-11,16.94,17.06,16.88,17.0,225341.0,中创智领,16.71,16.65,16.82
2025-07-14,17.03,17.55,17.03,17.48,301267.0,中创智领,16.93,16.73,16.83
2025-07-15,17.43,17.44,17.16,17.23,258043.96,中创智领,17.03,16.8,16.83
2025-07-16,17.27,17.31,17.11,17.16,134819.0,中创智领,17.15,16.85,16.82
2025-07-17,17.16,17.27,17.12,17.16,136277.03,中创智领,17.21,16.91,16.83
2025-07-18,17.2,17.21,17.05,17.14,159430.52,中创智领,17.23,16.97,16.85
2025-07-21,17.23,17.53,17.23,17.52,233295.44,中创智领,17.24,17.09,16.89
2025-07-22,17.55,17.94,17.35,17.9,320126.34,中创智领,17.38,17.2,16.93
2025-07-23,17.95,18.23,17.92,18.05,374094.37,中创智领,17.55,17.35,16.99
2025-07-24,18.04,18.07,17.78,17.82,320468.26,中创智领,17.69,17.45,17.04
2025-07-25,16.83,17.03,16.67,16.69,294266.74,中创智领,17.6,17.42,17.03
2025-07-28,16.67,16.83,16.33,16.4,260533.8,中创智领,17.37,17.31,17.02
2025-07-29,16.32,16.76,16.08,16.35,269673.65,中创智领,17.06,17.22,17.01
2025-07-30,16.34,16.54,16.31,16.36,161203.89,中创智领,16.72,17.14,16.99
2025-07-31,16.38,16.42,16.09,16.2,209794.61,中创智领,16.4,17.04,16.97
2025-08-01,16.2,17.05,16.16,16.75,415033.54,中创智领,16.41,17.0,16.99
2025-08-04,16.67,17.36,16.65,17.3,324101.31,中创智领,16.59,16.98,17.04
2025-08-05,17.29,17.49,17.18,17.39,167473.5,中创智领,16.8,16.93,17.07
2025-08-06,17.38,17.48,17.27,17.39,145199.0,中创智领,17.01,16.86,17.11
2025-08-07,17.36,17.56,17.3,17.53,180067.64,中创智领,17.27,16.84,17.14
2025-08-08,17.53,17.97,17.48,17.93,260829.34,中创智领,17.51,16.96,17.19
2025-08-11,18.02,18.05,17.62,17.68,216291.98,中创智领,17.58,17.09,17.2
2025-08-12,17.68,17.96,17.65,17.92,158865.02,中创智领,17.69,17.24,17.23
2025-08-13,17.92,17.95,17.7,17.88,173023.72,中创智领,17.79,17.4,17.27
2025-08-14,17.92,18.08,17.67,17.7,187445.61,中创智领,17.82,17.55,17.29
2025-08-15,17.71,17.77,17.56,17.7,181267.02,中创智领,17.78,17.64,17.32
2025-08-18,17.7,17.86,17.62,17.73,194207.0,中创智领,17.79,17.69,17.33
2025-08-19,17.73,17.76,17.46,17.62,180887.0,中创智领,17.73,17.71,17.32
