date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,38.28,38.6,35.42,36.45,43000.16,安乃达,36.45,36.45,36.45
2025-03-25,36.36,37.39,36.19,36.45,22814.88,安乃达,36.45,36.45,36.45
2025-03-26,36.26,38.74,36.25,38.36,35791.76,安乃达,37.09,37.09,37.09
2025-03-27,38.03,38.98,37.6,37.72,26254.82,安乃达,37.25,37.25,37.25
2025-03-28,37.72,38.62,36.79,37.81,25657.91,安乃达,37.36,37.36,37.36
2025-03-31,37.9,37.93,35.37,36.42,26418.34,安乃达,37.35,37.2,37.2
2025-04-01,36.11,36.72,35.69,35.83,16208.12,安乃达,37.23,37.01,37.01
2025-04-02,35.8,36.85,35.5,36.12,15700.81,安乃达,36.78,36.9,36.9
2025-04-03,35.61,36.35,35.03,35.28,14558.12,安乃达,36.29,36.72,36.72
2025-04-07,33.5,33.5,31.75,31.75,11674.0,安乃达,35.08,36.22,36.22
2025-04-08,30.65,31.5,28.69,29.55,28712.75,安乃达,33.71,35.53,35.61
2025-04-09,28.9,30.49,26.95,30.17,23239.18,安乃达,32.57,34.9,35.16
2025-04-10,30.56,31.88,30.56,31.32,19848.18,安乃达,31.61,34.2,34.86
2025-04-11,31.2,32.33,30.46,31.73,17167.0,安乃达,30.9,33.6,34.64
2025-04-14,31.98,32.49,31.7,32.15,12885.76,安乃达,30.98,33.03,34.47
2025-04-15,32.14,32.61,31.91,32.44,10985.82,安乃达,31.56,32.63,34.35
2025-04-16,32.22,32.96,31.9,32.5,12586.63,安乃达,32.03,32.3,34.24
2025-04-17,32.49,33.68,32.0,32.65,18100.56,安乃达,32.29,31.95,34.15
2025-04-18,32.47,33.0,32.38,32.6,10797.32,安乃达,32.47,31.69,34.07
2025-04-21,32.6,33.1,32.35,32.98,11556.72,安乃达,32.63,31.81,34.01
2025-04-22,33.0,33.0,32.52,32.76,10777.3,安乃达,32.7,32.13,33.83
2025-04-23,32.75,33.58,32.75,33.37,16830.56,安乃达,32.87,32.45,33.68
2025-04-24,33.37,33.6,32.39,32.75,13380.0,安乃达,32.89,32.59,33.39
2025-04-25,32.54,33.09,32.11,32.73,11186.75,安乃达,32.92,32.69,33.15
2025-04-28,32.75,32.93,31.43,31.46,12488.4,安乃达,32.61,32.62,32.83
2025-04-29,31.0,32.37,31.0,32.1,12174.0,安乃达,32.48,32.59,32.61
2025-04-30,32.29,33.2,32.26,32.89,13163.99,安乃达,32.39,32.63,32.47
2025-05-06,32.97,33.54,32.93,33.54,11202.35,安乃达,32.54,32.72,32.34
2025-05-07,33.72,36.89,33.34,36.02,66857.69,安乃达,33.2,33.06,32.37
2025-05-08,36.93,39.62,36.71,38.75,144000.28,安乃达,34.66,33.64,32.72
2025-05-09,38.77,38.9,36.03,36.7,97403.44,安乃达,35.58,34.03,33.08
2025-05-12,37.5,39.98,36.58,39.15,91453.98,安乃达,36.83,34.61,33.53
2025-05-13,39.4,40.7,38.92,39.4,96169.15,安乃达,38.0,35.27,33.93
2025-05-14,40.0,40.48,38.91,39.26,53054.34,安乃达,38.65,35.93,34.31
2025-05-15,40.1,40.5,37.82,38.9,55731.38,安乃达,38.68,36.67,34.65
2025-05-16,38.58,42.79,38.05,42.79,91873.74,安乃达,39.9,37.74,35.17
2025-05-19,43.5,43.99,41.07,41.6,92371.85,安乃达,40.39,38.61,35.62
2025-05-20,42.0,44.5,41.6,41.8,91054.03,安乃达,40.87,39.44,36.08
2025-05-21,41.59,43.22,40.63,41.02,58763.72,安乃达,41.22,39.94,36.5
2025-05-22,40.75,41.71,40.21,41.0,41958.36,安乃达,41.64,40.16,36.9
2025-05-23,40.4,41.34,39.5,39.9,40159.12,安乃达,41.06,40.48,37.26
2025-05-26,39.9,40.07,38.65,39.33,41831.12,安乃达,40.61,40.5,37.55
2025-05-27,39.26,39.95,38.33,38.85,29066.09,安乃达,40.02,40.45,37.86
2025-05-28,38.68,39.92,38.57,39.41,31984.09,安乃达,39.7,40.46,38.19
2025-05-29,39.1,39.99,37.48,37.66,52937.63,安乃达,39.03,40.34,38.5
2025-05-30,37.48,37.63,36.48,36.55,29187.6,安乃达,38.36,39.71,38.73
2025-06-03,36.53,36.87,36.21,36.38,22125.75,安乃达,37.77,39.19,38.9
2025-06-04,36.41,36.95,36.25,36.83,24452.31,安乃达,37.37,38.69,39.06
2025-06-05,36.8,37.45,36.03,37.01,29289.54,安乃达,36.89,38.29,39.11
2025-06-06,37.01,37.01,36.12,36.3,20386.06,安乃达,36.61,37.82,38.99
2025-06-09,36.08,36.81,35.75,36.1,25126.19,安乃达,36.52,37.44,38.96
2025-06-10,35.8,36.26,34.23,34.63,38239.38,安乃达,36.17,36.97,38.74
2025-06-11,34.66,36.36,34.66,35.85,33851.11,安乃达,35.98,36.67,38.56
2025-06-12,35.83,37.24,35.22,36.42,35864.44,安乃达,35.86,36.37,38.42
2025-06-13,36.35,37.25,35.59,35.75,27199.92,安乃达,35.75,36.18,38.26
2025-06-16,35.5,35.98,35.1,35.25,15300.84,安乃达,35.58,36.05,37.88
2025-06-17,35.3,35.53,34.75,34.95,13716.12,安乃达,35.64,35.91,37.55
2025-06-18,35.11,35.15,34.43,34.86,11886.92,安乃达,35.45,35.71,37.2
2025-06-19,34.8,35.16,33.68,33.68,18033.0,安乃达,34.9,35.38,36.84
2025-06-20,33.72,34.21,33.47,33.63,11332.0,安乃达,34.47,35.11,36.47
2025-06-23,33.28,33.95,33.28,33.61,11833.0,安乃达,34.15,34.86,36.15
2025-06-24,33.76,34.98,33.72,34.72,20221.06,安乃达,34.1,34.87,35.92
2025-06-25,34.71,35.45,34.5,35.05,19495.0,安乃达,34.14,34.79,35.73
2025-06-26,35.12,35.12,34.21,34.21,23736.98,安乃达,34.24,34.57,35.47
2025-06-27,34.22,34.76,34.1,34.47,14545.06,安乃达,34.41,34.44,35.31
2025-06-30,34.7,35.1,34.39,35.03,18482.18,安乃达,34.7,34.42,35.24
2025-07-01,34.97,35.23,34.61,35.11,14209.69,安乃达,34.77,34.44,35.17
2025-07-02,34.9,35.09,34.3,34.68,13824.23,安乃达,34.7,34.42,35.07
2025-07-03,34.68,35.28,34.5,35.0,13518.69,安乃达,34.86,34.55,34.97
2025-07-04,35.01,35.19,34.51,34.6,14832.69,安乃达,34.88,34.65,34.88
2025-07-07,34.67,35.79,34.24,35.6,25999.92,安乃达,35.0,34.85,34.85
2025-07-08,35.56,35.68,35.28,35.51,15167.55,安乃达,35.08,34.93,34.9
2025-07-09,36.72,37.95,36.19,36.94,74872.23,安乃达,35.53,35.11,34.95
2025-07-10,36.36,36.99,36.21,36.24,28318.0,安乃达,35.78,35.32,34.94
2025-07-11,36.31,36.55,35.81,36.06,24089.41,安乃达,36.07,35.48,34.96
2025-07-14,36.0,39.67,35.93,39.67,70192.94,安乃达,36.88,35.94,35.18
2025-07-15,40.07,41.89,39.68,40.06,94606.92,安乃达,37.79,36.44,35.44
2025-07-16,40.06,41.33,39.01,40.34,67617.67,安乃达,38.47,37.0,35.71
2025-07-17,40.1,40.31,39.22,39.23,51659.87,安乃达,39.07,37.42,35.99
2025-07-18,39.3,39.3,38.35,38.8,31572.19,安乃达,39.62,37.85,36.25
2025-07-21,38.88,39.55,38.54,39.0,34834.71,安乃达,39.49,38.18,36.52
2025-07-22,38.8,39.19,38.42,38.75,24142.43,安乃达,39.22,38.51,36.72
2025-07-23,38.56,38.9,37.7,38.12,26012.0,安乃达,38.78,38.63,36.87
2025-07-24,38.19,38.65,37.91,38.09,19960.95,安乃达,38.55,38.81,37.07
2025-07-25,38.07,39.1,38.07,38.69,26615.31,安乃达,38.53,39.08,37.28
2025-07-28,39.0,39.0,38.0,38.19,24534.29,安乃达,38.37,38.93,37.43
2025-07-29,38.0,38.66,37.63,37.97,27480.59,安乃达,38.21,38.72,37.58
2025-07-30,37.87,37.87,36.91,37.03,27625.18,安乃达,37.99,38.39,37.69
2025-07-31,37.11,37.6,36.71,36.8,19303.69,安乃达,37.74,38.14,37.78
2025-08-01,36.85,37.15,36.76,36.97,12277.54,安乃达,37.39,37.96,37.9
2025-08-04,36.97,37.77,36.7,37.65,24220.92,安乃达,37.28,37.83,38.01
2025-08-05,37.62,37.89,37.41,37.86,18512.72,安乃达,37.26,37.74,38.12
2025-08-06,37.94,38.75,37.41,38.55,32640.65,安乃达,37.57,37.78,38.2
2025-08-07,38.6,38.79,38.16,38.48,27083.22,安乃达,37.9,37.82,38.32
2025-08-08,38.51,38.53,37.84,37.98,18261.52,安乃达,38.1,37.75,38.41
2025-08-11,37.98,39.3,37.91,38.79,28641.91,安乃达,38.33,37.81,38.37
2025-08-12,38.41,39.1,38.18,38.58,24736.13,安乃达,38.48,37.87,38.29
2025-08-13,38.79,40.4,38.79,39.88,66363.73,安乃达,38.74,38.15,38.27
2025-08-14,39.78,43.87,39.46,43.87,74667.69,安乃达,39.82,38.86,38.5
2025-08-15,43.87,46.66,43.1,45.29,125633.76,安乃达,41.28,39.69,38.83
2025-08-18,44.75,44.95,43.05,43.35,104318.53,安乃达,42.19,40.26,39.04
2025-08-19,43.35,43.5,42.21,42.51,64998.75,安乃达,42.98,40.73,39.23
2025-08-20,42.59,42.59,41.91,42.37,31361.13,安乃达,43.48,41.11,39.44
2025-08-21,42.37,43.08,41.71,41.94,52565.8,安乃达,43.09,41.46,39.64
2025-08-22,41.78,42.27,41.7,42.26,31738.8,安乃达,42.49,41.88,39.82
2025-08-25,42.01,42.07,41.14,41.48,51144.37,安乃达,42.11,42.15,39.98
2025-08-26,41.09,41.53,41.06,41.23,22095.51,安乃达,41.86,42.42,40.14
2025-08-27,41.15,42.42,41.14,41.61,45946.34,安乃达,41.7,42.59,40.37
2025-08-28,41.84,41.9,39.52,40.41,45053.5,安乃达,41.4,42.24,40.55
2025-08-29,40.02,40.95,40.02,40.48,22219.53,安乃达,41.04,41.76,40.73
2025-09-01,40.98,42.58,40.72,42.58,46306.84,安乃达,41.26,41.69,40.98
2025-09-02,42.59,43.5,41.61,43.1,50933.89,安乃达,41.64,41.75,41.24
2025-09-03,43.09,43.45,41.6,41.63,31243.83,安乃达,41.64,41.67,41.39
2025-09-04,41.64,43.0,41.25,42.48,39760.73,安乃达,42.05,41.73,41.59
2025-09-05,42.1,43.78,41.62,43.73,45652.81,安乃达,42.7,41.87,41.88
2025-09-08,44.1,44.13,43.0,43.49,35664.26,安乃达,42.89,42.07,42.11
2025-09-09,43.5,44.44,42.64,43.9,34718.35,安乃达,43.05,42.34,42.38
2025-09-10,43.57,43.8,42.5,42.55,33991.11,安乃达,43.23,42.43,42.51
2025-09-11,42.0,42.36,40.8,42.36,35621.63,安乃达,43.21,42.63,42.44
2025-09-12,41.98,44.89,41.8,43.45,45957.7,安乃达,43.15,42.93,42.35
2025-09-15,43.02,45.45,43.02,44.91,63270.45,安乃达,43.43,43.16,42.42
2025-09-16,44.65,46.23,44.21,45.57,54587.3,安乃达,43.77,43.41,42.58
2025-09-17,45.18,46.09,45.0,45.27,46023.9,安乃达,44.31,43.77,42.72
2025-09-18,45.1,45.68,42.86,43.52,53247.57,安乃达,44.54,43.88,42.8
2025-09-19,43.49,43.58,42.35,42.61,27956.44,安乃达,44.38,43.76,42.82
2025-09-22,42.63,43.63,42.23,42.5,21736.99,安乃达,43.89,43.66,42.87
2025-09-23,42.63,42.97,40.92,41.8,27718.4,安乃达,43.14,43.45,42.9
2025-09-24,41.24,42.2,41.1,42.17,16487.8,安乃达,42.52,43.42,42.93
2025-09-25,42.05,42.45,41.38,41.51,19025.0,安乃达,42.12,43.33,42.98
2025-09-26,41.51,41.98,41.05,41.21,14896.2,安乃达,41.84,43.11,43.02
2025-09-29,41.02,41.44,40.46,41.09,13677.03,安乃达,41.56,42.72,42.94
2025-09-30,41.12,41.5,40.02,40.04,22177.03,安乃达,41.2,42.17,42.79
2025-10-09,40.02,40.11,39.52,39.79,16609.1,安乃达,40.73,41.62,42.7
2025-10-10,39.8,40.26,39.22,39.22,18974.0,安乃达,40.27,41.19,42.53
2025-10-13,38.52,38.93,37.51,38.88,18441.98,安乃达,39.8,40.82,42.29
2025-10-14,38.98,39.23,37.92,38.03,18763.0,安乃达,39.19,40.37,42.02
2025-10-15,38.04,38.73,37.75,38.7,13906.0,安乃达,38.92,40.06,41.76
2025-10-16,38.56,39.17,38.19,38.37,12270.0,安乃达,38.64,39.68,41.55
2025-10-17,38.36,38.5,37.26,37.28,13409.0,安乃达,38.25,39.26,41.3
2025-10-20,37.76,38.09,37.5,37.9,9746.0,安乃达,38.06,38.93,41.02
2025-10-21,38.0,38.44,37.77,38.4,10918.6,安乃达,38.13,38.66,40.69
2025-10-22,38.08,38.98,38.0,38.4,13723.0,安乃达,38.07,38.5,40.33
2025-10-23,38.22,38.36,37.81,38.3,10481.69,安乃达,38.06,38.35,39.99
2025-10-24,38.35,39.14,38.16,38.98,16899.5,安乃达,38.4,38.32,39.76
2025-10-27,39.16,39.94,38.98,39.93,23574.06,安乃达,38.8,38.43,39.62
2025-10-28,39.99,40.45,39.38,39.42,20440.49,安乃达,39.01,38.57,39.47
2025-10-29,39.45,39.81,38.86,39.35,15942.43,安乃达,39.2,38.63,39.35
2025-10-30,39.79,39.79,38.75,38.81,14342.51,安乃达,39.3,38.68,39.18
2025-10-31,38.52,39.47,38.52,39.28,11989.63,安乃达,39.36,38.88,39.07
2025-11-03,39.21,39.59,39.1,39.53,10683.0,安乃达,39.28,39.04,38.98
