date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,13.88,13.97,12.91,13.09,57902.0,华菱精工,13.09,13.09,13.09
2025-03-25,13.09,13.23,12.85,12.89,30158.0,华菱精工,12.99,12.99,12.99
2025-03-26,12.76,13.37,12.73,13.2,36539.0,华菱精工,13.06,13.06,13.06
2025-03-27,13.22,13.31,12.8,13.1,30575.34,华菱精工,13.07,13.07,13.07
2025-03-28,13.03,13.23,12.82,12.88,21622.0,华菱精工,13.03,13.03,13.03
2025-03-31,12.91,12.93,12.64,12.84,19572.0,华菱精工,12.98,13.0,13.0
2025-04-01,12.99,13.23,12.95,13.11,21219.0,华菱精工,13.03,13.02,13.02
2025-04-02,13.17,13.17,12.96,12.99,14688.0,华菱精工,12.98,13.01,13.01
2025-04-03,12.88,13.03,12.83,12.99,14031.0,华菱精工,12.96,13.01,13.01
2025-04-07,11.7,12.8,11.69,11.69,53711.0,华菱精工,12.72,12.88,12.88
2025-04-08,11.69,12.0,11.25,11.44,31948.0,华菱精工,12.44,12.71,12.75
2025-04-09,11.31,11.86,10.57,11.7,31276.0,华菱精工,12.16,12.59,12.66
2025-04-10,11.82,12.47,11.82,12.27,32137.0,华菱精工,12.02,12.5,12.63
2025-04-11,12.16,12.35,12.12,12.2,16322.0,华菱精工,11.86,12.41,12.6
2025-04-14,12.53,12.53,12.17,12.31,17847.0,华菱精工,11.98,12.35,12.58
2025-04-15,12.3,12.46,12.21,12.46,22571.0,华菱精工,12.19,12.32,12.57
2025-04-16,12.45,12.5,11.94,12.1,18713.0,华菱精工,12.27,12.22,12.54
2025-04-17,12.14,12.28,12.01,12.16,18067.0,华菱精工,12.25,12.13,12.52
2025-04-18,12.17,12.24,11.9,12.09,14793.0,华菱精工,12.22,12.04,12.5
2025-04-21,12.1,12.3,11.95,12.23,13837.0,华菱精工,12.21,12.1,12.49
2025-04-22,12.28,12.28,12.03,12.12,11086.0,华菱精工,12.14,12.16,12.44
2025-04-23,12.23,12.39,12.13,12.26,17554.0,华菱精工,12.17,12.22,12.41
2025-04-24,12.35,12.35,11.86,11.95,22151.0,华菱精工,12.13,12.19,12.34
2025-04-25,11.95,12.07,11.85,11.95,15503.0,华菱精工,12.1,12.16,12.29
2025-04-28,11.95,11.96,11.5,11.63,25733.0,华菱精工,11.98,12.1,12.22
2025-04-29,11.59,12.13,11.57,12.03,27052.0,华菱精工,11.96,12.05,12.18
2025-04-30,12.15,12.48,12.04,12.37,22033.0,华菱精工,11.99,12.08,12.15
2025-05-06,12.37,12.96,12.37,12.88,26178.0,华菱精工,12.17,12.15,12.14
2025-05-07,12.98,13.19,12.76,12.92,20256.0,华菱精工,12.37,12.23,12.14
2025-05-08,12.86,13.17,12.81,13.15,15267.0,华菱精工,12.67,12.33,12.21
2025-05-09,13.16,13.42,12.93,13.21,46742.0,华菱精工,12.91,12.43,12.3
2025-05-12,13.27,13.38,13.08,13.35,20973.0,华菱精工,13.1,12.54,12.38
2025-05-13,13.42,13.49,13.16,13.16,14721.0,华菱精工,13.16,12.66,12.43
2025-05-14,13.16,13.23,13.01,13.16,17619.0,华菱精工,13.21,12.79,12.47
2025-05-15,13.16,13.33,13.05,13.18,20116.0,华菱精工,13.21,12.94,12.52
2025-05-16,13.25,13.47,13.16,13.35,27905.0,华菱精工,13.24,13.07,12.56
2025-05-19,13.35,13.79,13.11,13.43,53477.0,华菱精工,13.26,13.18,12.63
2025-05-20,13.43,13.53,13.3,13.49,33676.0,华菱精工,13.32,13.24,12.7
2025-05-21,13.57,13.58,13.16,13.47,25653.0,华菱精工,13.38,13.29,12.76
2025-05-22,13.06,13.6,13.06,13.37,22588.0,华菱精工,13.42,13.32,12.82
2025-05-23,13.21,13.63,13.12,13.14,30840.0,华菱精工,13.38,13.31,12.87
2025-05-26,13.14,13.4,13.14,13.35,17306.0,华菱精工,13.36,13.31,12.93
