date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,2.9,2.95,2.82,2.89,119112.7,ST东时,2.89,2.89,2.89
2025-03-25,2.87,2.96,2.85,2.85,94697.0,ST东时,2.87,2.87,2.87
2025-03-26,2.8,2.99,2.78,2.99,149186.06,ST东时,2.91,2.91,2.91
2025-03-27,3.05,3.14,3.0,3.14,92392.02,ST东时,2.97,2.97,2.97
2025-03-28,3.27,3.29,3.08,3.15,177732.02,ST东时,3.0,3.0,3.0
2025-03-31,3.12,3.26,2.99,3.01,151770.45,ST东时,3.03,3.01,3.01
2025-04-01,3.04,3.07,2.93,2.97,83202.32,ST东时,3.05,3.0,3.0
2025-04-02,2.93,3.12,2.93,3.12,73516.98,ST东时,3.08,3.02,3.02
2025-04-03,3.19,3.21,3.08,3.13,101914.77,ST东时,3.08,3.03,3.03
2025-04-07,2.97,2.97,2.97,2.97,22187.0,ST东时,3.04,3.02,3.02
2025-04-08,2.82,2.93,2.82,2.82,99593.0,ST东时,3.0,3.01,3.0
2025-04-09,2.76,2.79,2.68,2.76,114682.64,ST东时,2.96,3.01,2.98
2025-04-10,2.82,2.86,2.78,2.85,57466.76,ST东时,2.91,2.99,2.97
2025-04-11,2.83,2.99,2.82,2.99,50628.9,ST东时,2.88,2.98,2.97
2025-04-14,3.1,3.13,2.99,3.03,129645.4,ST东时,2.89,2.97,2.98
2025-04-15,3.04,3.18,3.04,3.13,144326.6,ST东时,2.95,2.98,2.99
2025-04-16,3.08,3.12,2.97,2.97,114511.12,ST东时,2.99,2.98,2.99
2025-04-17,2.91,3.06,2.91,3.01,49410.92,ST东时,3.03,2.97,2.99
2025-04-18,3.01,3.06,2.95,3.04,51799.2,ST东时,3.04,2.96,2.99
2025-04-21,3.05,3.11,3.03,3.07,53298.0,ST东时,3.04,2.97,2.99
2025-04-22,3.03,3.12,3.01,3.04,46265.0,ST东时,3.03,2.99,3.0
2025-04-23,3.06,3.19,3.01,3.15,84754.2,ST东时,3.06,3.03,3.02
2025-04-24,3.17,3.3,3.08,3.15,99553.41,ST东时,3.09,3.06,3.02
2025-04-25,3.15,3.18,3.04,3.06,61892.0,ST东时,3.09,3.06,3.02
2025-04-28,3.03,3.08,2.95,3.02,49584.28,ST东时,3.08,3.06,3.01
2025-04-29,2.99,3.03,2.87,2.9,122063.78,ST东时,3.06,3.04,3.01
2025-04-30,2.81,2.99,2.81,2.96,50793.63,ST东时,3.02,3.04,3.01
2025-05-06,3.06,3.06,2.95,2.96,42848.6,ST东时,2.98,3.03,3.0
2025-05-07,3.0,3.01,2.9,2.95,61140.0,ST东时,2.96,3.03,2.99
2025-05-08,2.97,3.1,2.92,3.09,113388.8,ST东时,2.97,3.03,3.0
2025-05-09,3.06,3.11,3.01,3.04,87074.0,ST东时,3.0,3.03,3.01
2025-05-12,3.05,3.06,2.99,3.02,43902.2,ST东时,3.01,3.02,3.02
2025-05-13,3.02,3.06,2.98,3.0,59418.6,ST东时,3.02,3.0,3.03
2025-05-14,2.98,3.06,2.95,3.04,41874.0,ST东时,3.04,3.0,3.03
2025-05-15,3.0,3.04,2.97,2.99,43047.16,ST东时,3.02,3.0,3.03
2025-05-16,2.98,2.99,2.89,2.95,56968.0,ST东时,3.0,3.0,3.02
2025-05-19,2.95,3.01,2.93,2.97,41993.09,ST东时,2.99,3.0,3.02
2025-05-20,2.98,3.0,2.93,2.96,45441.8,ST东时,2.98,3.0,3.02
2025-05-21,2.94,2.98,2.94,2.95,42479.64,ST东时,2.96,3.0,3.01
2025-05-22,2.96,2.97,2.8,2.84,100943.08,ST东时,2.93,2.98,3.0
2025-05-23,2.83,2.89,2.81,2.84,35947.4,ST东时,2.91,2.96,2.99
2025-05-26,2.83,2.84,2.72,2.76,82238.12,ST东时,2.87,2.93,2.97
2025-05-27,2.74,2.89,2.67,2.87,99708.82,ST东时,2.85,2.92,2.96
2025-05-28,2.86,2.93,2.83,2.89,60070.84,ST东时,2.84,2.9,2.95
2025-05-29,2.92,2.92,2.75,2.77,111481.69,ST东时,2.83,2.88,2.94
2025-05-30,2.75,2.8,2.73,2.74,44441.64,ST东时,2.81,2.86,2.93
2025-06-03,2.6,2.69,2.6,2.6,159008.44,ST东时,2.77,2.82,2.91
2025-06-04,2.59,2.73,2.47,2.7,195571.75,ST东时,2.74,2.8,2.9
2025-06-05,2.68,2.7,2.61,2.67,66275.6,ST东时,2.7,2.77,2.88
2025-06-06,2.66,2.8,2.65,2.8,85120.48,ST东时,2.7,2.76,2.87
2025-06-09,2.88,2.94,2.87,2.94,32875.67,ST东时,2.74,2.77,2.86
2025-06-10,3.09,3.09,3.09,3.09,42251.78,ST东时,2.84,2.81,2.87
2025-06-11,3.1,3.1,2.94,2.94,246029.94,ST东时,2.89,2.81,2.87
2025-06-12,2.94,3.04,2.86,2.88,177316.2,ST东时,2.93,2.81,2.86
2025-06-13,2.88,2.97,2.82,2.87,115690.47,ST东时,2.94,2.82,2.85
2025-06-16,2.89,2.92,2.74,2.86,123236.64,ST东时,2.93,2.84,2.85
2025-06-17,2.85,2.9,2.75,2.75,161769.4,ST东时,2.86,2.85,2.84
2025-06-18,2.75,2.89,2.73,2.89,219171.64,ST东时,2.85,2.87,2.83
2025-06-19,2.77,3.02,2.77,2.95,266536.36,ST东时,2.86,2.9,2.83
2025-08-19,3.1,3.1,3.1,3.1,4521.52,ST东时,2.91,2.93,2.85
2025-08-20,3.26,3.26,3.26,3.26,4871.4,ST东时,2.99,2.96,2.87
2025-08-21,3.42,3.42,3.42,3.42,1979.2,ST东时,3.12,2.99,2.9
2025-08-22,3.59,3.59,3.59,3.59,2802.6,ST东时,3.26,3.06,2.94
2025-08-25,3.77,3.77,3.77,3.77,2347.68,ST东时,3.43,3.15,2.98
2025-08-26,3.96,3.96,3.95,3.96,236347.69,ST东时,3.6,3.26,3.04
2025-08-27,4.15,4.16,3.78,3.99,707622.08,ST东时,3.75,3.37,3.1
2025-08-28,3.88,3.94,3.79,3.79,344441.5,ST东时,3.82,3.47,3.16
2025-08-29,3.72,3.98,3.6,3.77,388314.09,ST东时,3.86,3.56,3.21
2025-09-01,3.62,3.67,3.58,3.61,284165.45,ST东时,3.82,3.63,3.26
2025-09-02,3.68,3.7,3.46,3.56,212637.28,ST东时,3.74,3.67,3.3
2025-09-03,3.52,3.74,3.51,3.62,229730.46,ST东时,3.67,3.71,3.33
2025-09-04,3.54,3.72,3.53,3.55,144818.86,ST东时,3.62,3.72,3.36
2025-09-05,3.53,3.6,3.52,3.56,92291.97,ST东时,3.58,3.72,3.39
2025-09-08,3.56,3.67,3.56,3.67,115280.68,ST东时,3.59,3.71,3.43
2025-09-09,3.73,3.85,3.72,3.85,266447.25,ST东时,3.65,3.7,3.48
2025-09-10,3.7,3.84,3.67,3.75,245221.33,ST东时,3.68,3.67,3.52
2025-09-11,3.81,3.93,3.81,3.93,200097.59,ST东时,3.75,3.69,3.58
2025-09-12,3.91,3.99,3.73,3.73,294961.91,ST东时,3.79,3.68,3.62
2025-09-15,3.69,3.73,3.55,3.64,154734.5,ST东时,3.78,3.69,3.66
2025-09-16,3.63,3.71,3.58,3.63,95727.9,ST东时,3.74,3.69,3.68
2025-09-17,3.61,3.66,3.56,3.64,79647.32,ST东时,3.71,3.7,3.7
2025-09-18,3.6,3.62,3.57,3.58,76337.9,ST东时,3.64,3.7,3.71
2025-09-19,3.59,3.6,3.43,3.5,89556.8,ST东时,3.6,3.69,3.7
2025-09-22,3.53,3.58,3.34,3.44,161397.73,ST东时,3.56,3.67,3.69
2025-09-23,3.43,3.51,3.33,3.36,142741.96,ST东时,3.5,3.62,3.66
2025-09-24,3.36,3.53,3.34,3.39,130016.48,ST东时,3.45,3.58,3.63
2025-09-25,3.39,3.4,3.33,3.39,130552.85,ST东时,3.42,3.53,3.61
2025-09-26,3.4,3.56,3.37,3.37,219988.92,ST东时,3.39,3.49,3.59
2025-09-29,3.37,3.37,3.25,3.25,139106.69,ST东时,3.35,3.46,3.57
2025-09-30,3.28,3.3,3.24,3.29,84348.2,ST东时,3.34,3.42,3.56
2025-10-09,3.29,3.32,3.24,3.27,77194.35,ST东时,3.31,3.38,3.54
2025-10-10,3.29,3.43,3.29,3.43,194673.03,ST东时,3.32,3.37,3.53
2025-10-13,3.4,3.59,3.31,3.56,202218.2,ST东时,3.36,3.38,3.53
2025-10-14,3.56,3.72,3.45,3.58,147340.72,ST东时,3.43,3.39,3.53
2025-10-15,3.57,3.6,3.49,3.51,74484.62,ST东时,3.47,3.4,3.51
2025-10-16,3.52,3.57,3.45,3.48,80905.6,ST东时,3.51,3.41,3.5
2025-10-17,3.46,3.59,3.38,3.52,144201.21,ST东时,3.53,3.43,3.48
2025-10-20,3.53,3.57,3.46,3.54,83638.4,ST东时,3.53,3.44,3.47
2025-10-21,3.52,3.67,3.51,3.59,131921.69,ST东时,3.53,3.48,3.47
2025-10-22,3.58,3.77,3.54,3.77,252844.72,ST东时,3.58,3.52,3.47
2025-10-23,3.7,3.72,3.61,3.66,189988.85,ST东时,3.62,3.56,3.47
2025-10-24,3.68,3.73,3.53,3.54,149896.08,ST东时,3.62,3.58,3.47
2025-10-27,3.51,3.56,3.45,3.53,101499.49,ST东时,3.62,3.57,3.47
2025-10-28,3.52,3.57,3.5,3.52,76213.29,ST东时,3.6,3.57,3.48
2025-10-29,3.59,3.6,3.47,3.49,84592.93,ST东时,3.55,3.56,3.48
2025-10-30,3.49,3.5,3.44,3.47,74156.52,ST东时,3.51,3.56,3.49
2025-10-31,3.5,3.57,3.49,3.54,106190.92,ST东时,3.51,3.56,3.5
2025-11-03,3.55,3.72,3.52,3.66,153847.04,ST东时,3.54,3.58,3.51
2025-11-04,3.66,3.81,3.65,3.77,202770.93,ST东时,3.59,3.6,3.54
2025-11-05,3.71,3.8,3.69,3.7,165122.13,ST东时,3.63,3.59,3.56
2025-11-06,3.73,3.88,3.68,3.88,178910.6,ST东时,3.71,3.61,3.59
2025-11-07,3.86,3.87,3.78,3.82,153758.2,ST东时,3.77,3.64,3.61
2025-11-10,3.95,4.01,3.91,4.01,193019.41,ST东时,3.84,3.69,3.63
2025-11-11,4.21,4.21,4.21,4.21,18750.18,ST东时,3.92,3.76,3.66
2025-11-12,4.42,4.42,4.42,4.42,6935.88,ST东时,4.07,3.85,3.71
2025-11-13,4.64,4.64,4.55,4.55,135204.0,ST东时,4.2,3.96,3.76
2025-11-14,4.45,4.46,4.32,4.32,319972.8,ST东时,4.3,4.03,3.8
2025-11-17,4.16,4.32,4.1,4.12,432566.32,ST东时,4.32,4.08,3.83
2025-11-18,4.12,4.33,4.12,4.33,422843.27,ST东时,4.35,4.14,3.87
2025-11-19,4.16,4.31,4.12,4.19,281857.11,ST东时,4.3,4.19,3.89
2025-11-20,4.2,4.28,4.01,4.18,192194.78,ST东时,4.23,4.22,3.91
2025-11-21,4.08,4.25,4.08,4.13,174824.32,ST东时,4.19,4.25,3.94
