date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,8.46,8.55,8.18,8.32,58982.8,安记食品,8.32,8.32,8.32
2025-03-25,8.31,8.31,8.12,8.28,32690.0,安记食品,8.3,8.3,8.3
2025-03-26,8.23,8.54,8.21,8.43,63424.15,安记食品,8.34,8.34,8.34
2025-03-27,8.43,8.5,8.29,8.4,42430.0,安记食品,8.36,8.36,8.36
2025-03-28,8.38,8.42,8.23,8.33,42444.96,安记食品,8.35,8.35,8.35
2025-03-31,8.29,8.37,8.2,8.28,30416.78,安记食品,8.34,8.34,8.34
2025-04-01,8.31,8.62,8.28,8.58,61606.58,安记食品,8.4,8.37,8.37
2025-04-02,8.54,8.62,8.48,8.57,29710.0,安记食品,8.43,8.4,8.4
2025-04-03,8.55,8.64,8.48,8.63,37247.8,安记食品,8.48,8.42,8.42
2025-04-07,8.16,8.57,7.77,7.77,86309.16,安记食品,8.37,8.36,8.36
2025-04-08,7.7,8.37,7.67,8.05,102788.49,安记食品,8.32,8.33,8.33
2025-04-09,7.91,8.31,7.54,8.25,111683.36,安记食品,8.25,8.33,8.32
2025-04-10,8.3,8.55,8.27,8.44,101739.86,安记食品,8.23,8.33,8.33
2025-04-11,8.36,8.46,8.18,8.28,72102.11,安记食品,8.16,8.32,8.33
2025-04-14,8.31,8.53,8.29,8.48,68513.96,安记食品,8.3,8.33,8.34
2025-04-15,8.48,9.33,8.41,9.33,221639.53,安记食品,8.56,8.44,8.4
2025-04-16,9.33,10.26,9.08,10.26,429496.4,安记食品,8.96,8.61,8.51
2025-04-17,11.21,11.29,10.98,11.29,164084.84,安记食品,9.53,8.88,8.66
2025-04-18,12.42,12.42,12.02,12.42,241583.67,安记食品,10.36,9.26,8.86
2025-04-21,11.98,13.66,11.49,13.66,624973.28,安记食品,11.39,9.85,9.1
2025-04-22,13.04,15.03,12.37,15.03,593247.89,安记食品,12.53,10.54,9.44
2025-04-23,13.53,13.53,13.53,13.53,48860.0,安记食品,13.19,11.07,9.7
2025-04-24,13.25,14.88,12.18,14.88,675857.68,安记食品,13.9,11.72,10.02
2025-04-25,14.37,16.37,14.37,14.85,725851.71,安记食品,14.39,12.37,10.35
2025-04-28,13.42,16.18,13.37,16.03,658962.66,安记食品,14.86,13.13,10.73
2025-04-29,15.8,17.63,15.77,16.26,722447.27,安记食品,15.11,13.82,11.13
2025-04-30,15.67,16.3,14.63,14.63,450373.32,安记食品,15.33,14.26,11.43
2025-05-06,13.31,13.77,13.17,13.17,549677.11,安记食品,14.99,14.45,11.66
2025-05-07,13.18,13.79,12.85,13.58,506708.64,安记食品,14.73,14.56,11.91
2025-05-08,13.17,13.34,12.73,12.91,379546.01,安记食品,14.11,14.49,12.17
2025-05-09,12.65,13.04,12.2,12.29,292792.21,安记食品,13.32,14.21,12.38
2025-05-12,12.33,12.38,12.08,12.32,197948.6,安记食品,12.85,14.09,12.58
2025-05-13,12.32,12.55,12.23,12.29,201134.52,安记食品,12.68,13.83,12.77
2025-05-14,12.09,12.82,11.96,12.73,347665.68,安记食品,12.51,13.62,13.0
2025-05-15,12.55,13.88,12.22,13.19,509378.04,安记食品,12.56,13.34,13.23
2025-05-16,12.8,13.65,12.35,12.93,413736.09,安记食品,12.69,13.0,13.41
2025-05-19,12.52,13.33,12.44,13.0,351412.95,安记食品,12.83,12.84,13.55
2025-05-20,12.9,14.29,12.68,13.72,504620.11,安记食品,13.11,12.9,13.67
2025-05-21,13.38,13.98,12.93,12.96,431839.92,安记食品,13.16,12.83,13.7
2025-05-22,12.56,12.95,12.0,12.05,332280.85,安记食品,12.93,12.75,13.62
2025-05-23,11.9,12.0,11.57,11.6,244380.24,安记食品,12.67,12.68,13.45
2025-05-26,11.72,11.9,11.46,11.9,170260.12,安记食品,12.45,12.64,13.36
2025-05-27,11.77,12.16,11.77,11.89,177334.46,安记食品,12.08,12.6,13.22
2025-05-28,11.86,12.16,11.73,12.05,228734.0,安记食品,11.9,12.53,13.08
2025-05-29,11.93,12.15,11.6,11.89,222972.21,安记食品,11.87,12.4,12.87
2025-05-30,11.85,11.93,11.5,11.57,154140.0,安记食品,11.86,12.26,12.63
2025-06-03,11.37,12.22,11.37,12.12,227982.11,安记食品,11.9,12.18,12.51
2025-06-04,12.2,12.21,11.93,12.11,137235.0,安记食品,11.95,12.01,12.46
2025-06-05,12.0,12.07,11.63,11.7,130292.0,安记食品,11.88,11.89,12.36
2025-06-06,11.66,11.7,11.43,11.5,87562.0,安记食品,11.8,11.83,12.29
2025-06-09,11.6,11.73,11.55,11.69,86990.0,安记食品,11.82,11.84,12.26
2025-06-10,11.77,11.77,11.34,11.71,113301.3,安记食品,11.74,11.82,12.23
2025-06-11,11.65,11.76,11.57,11.61,92017.0,安记食品,11.64,11.79,12.2
2025-06-12,11.68,12.1,11.46,11.47,183801.6,安记食品,11.6,11.74,12.13
2025-06-13,11.38,11.48,10.97,11.07,142189.0,安记食品,11.51,11.66,12.03
2025-06-16,11.04,11.25,11.03,11.17,73483.0,安记食品,11.41,11.62,11.94
2025-06-17,11.21,11.27,10.94,11.07,80967.0,安记食品,11.28,11.51,11.84
2025-06-18,11.0,11.05,10.84,10.92,65810.0,安记食品,11.14,11.39,11.7
2025-06-19,10.92,10.96,10.67,10.72,71537.01,安记食品,10.99,11.29,11.59
2025-06-20,10.72,10.81,10.62,10.65,48598.0,安记食品,10.91,11.21,11.52
2025-06-23,10.57,10.73,10.53,10.69,58431.0,安记食品,10.81,11.11,11.48
2025-06-24,10.72,10.87,10.68,10.84,53927.0,安记食品,10.76,11.02,11.42
2025-06-25,10.96,11.06,10.68,10.85,90492.96,安记食品,10.75,10.94,11.37
2025-06-26,10.85,11.0,10.78,10.82,87822.96,安记食品,10.77,10.88,11.31
2025-06-27,10.8,10.93,10.79,10.89,71445.6,安记食品,10.82,10.86,11.26
2025-06-30,10.9,10.98,10.84,10.97,50271.43,安记食品,10.87,10.84,11.23
2025-07-01,11.0,11.01,10.79,10.98,65336.12,安记食品,10.9,10.83,11.17
2025-07-02,10.98,11.1,10.88,10.98,81014.92,安记食品,10.93,10.84,11.12
2025-07-03,10.98,11.08,10.91,11.07,80572.0,安记食品,10.98,10.87,11.08
2025-07-04,11.06,11.3,10.76,11.3,166099.0,安记食品,11.06,10.94,11.07
2025-07-07,11.34,11.45,11.15,11.37,178701.01,安记食品,11.14,11.01,11.06
2025-07-08,11.36,11.6,11.17,11.34,151835.58,安记食品,11.21,11.06,11.04
2025-07-09,11.33,12.23,11.2,11.33,296916.68,安记食品,11.28,11.1,11.02
2025-07-10,11.15,11.28,10.88,10.94,178420.39,安记食品,11.26,11.12,11.0
2025-07-11,10.95,11.0,10.76,10.9,105850.0,安记食品,11.18,11.12,10.99
2025-07-14,10.85,10.94,10.81,10.92,58981.4,安记食品,11.09,11.11,10.98
2025-07-15,10.94,11.0,10.69,10.88,85183.54,安记食品,10.99,11.1,10.97
2025-07-16,10.88,11.03,10.82,10.98,76531.43,安记食品,10.92,11.1,10.97
2025-07-17,10.99,11.2,10.97,11.04,81519.24,安记食品,10.94,11.1,10.99
2025-07-18,11.13,11.15,10.85,10.92,70206.32,安记食品,10.95,11.06,11.0
2025-07-21,10.88,10.97,10.87,10.94,53765.99,安记食品,10.95,11.02,11.01
2025-07-22,10.94,10.95,10.83,10.95,57458.52,安记食品,10.97,10.98,11.02
2025-07-23,10.95,10.96,10.81,10.81,55197.45,安记食品,10.93,10.93,11.02
2025-07-24,10.81,10.95,10.81,10.95,61545.32,安记食品,10.91,10.93,11.02
2025-07-25,10.97,11.01,10.9,10.93,43652.99,安记食品,10.92,10.93,11.02
2025-07-28,10.93,11.05,10.91,10.96,46513.98,安记食品,10.92,10.94,11.02
2025-07-29,10.99,11.05,10.73,10.86,62844.32,安记食品,10.9,10.93,11.02
2025-07-30,10.74,10.87,10.62,10.8,66763.4,安记食品,10.9,10.92,11.01
2025-07-31,10.75,10.87,10.6,10.6,52676.68,安记食品,10.83,10.87,10.99
2025-08-01,10.6,10.67,10.56,10.62,30539.68,安记食品,10.77,10.84,10.95
2025-08-04,10.6,10.73,10.5,10.73,32432.99,安记食品,10.72,10.82,10.92
2025-08-05,10.79,10.82,10.68,10.8,39658.84,安记食品,10.71,10.81,10.89
2025-08-06,10.85,10.94,10.72,10.9,53120.16,安记食品,10.73,10.82,10.87
2025-08-07,10.9,10.99,10.83,10.88,47783.0,安记食品,10.79,10.81,10.87
2025-08-08,10.93,10.93,10.7,10.89,51133.04,安记食品,10.84,10.8,10.87
2025-08-11,10.95,11.03,10.89,11.02,66241.47,安记食品,10.9,10.81,10.87
2025-08-12,11.09,11.09,10.92,11.02,52344.0,安记食品,10.94,10.83,10.88
2025-08-13,11.2,11.25,10.94,11.1,161403.7,安记食品,10.98,10.86,10.89
2025-08-14,11.01,11.06,10.75,10.76,105084.0,安记食品,10.96,10.87,10.87
2025-08-15,10.73,10.83,10.71,10.79,47559.12,安记食品,10.94,10.89,10.87
2025-08-18,10.79,10.97,10.78,10.95,80183.59,安记食品,10.92,10.91,10.87
2025-08-19,11.0,11.08,10.92,11.08,94173.6,安记食品,10.94,10.94,10.87
2025-08-20,11.08,12.17,10.94,11.67,319068.15,安记食品,11.05,11.02,10.92
2025-08-21,11.6,12.63,11.47,12.13,309306.12,安记食品,11.32,11.14,10.97
2025-08-22,11.85,11.92,11.7,11.79,206868.09,安记食品,11.52,11.23,11.02
2025-08-25,11.72,12.44,11.63,12.13,241484.64,安记食品,11.76,11.34,11.08
2025-08-26,11.99,12.25,11.95,12.05,157733.82,安记食品,11.95,11.44,11.14
2025-08-27,12.07,13.0,11.81,12.48,328816.64,安记食品,12.12,11.58,11.22
2025-08-28,12.28,13.12,12.25,13.1,385920.88,安记食品,12.31,11.82,11.34
2025-08-29,13.0,13.98,12.61,13.09,353239.95,安记食品,12.57,12.05,11.47
2025-09-01,12.7,13.61,12.52,13.4,267244.37,安记食品,12.82,12.29,11.6
2025-09-02,13.25,13.96,13.05,13.1,258184.49,安记食品,13.03,12.49,11.72
2025-09-03,12.9,13.17,11.99,11.99,227745.56,安记食品,12.94,12.53,11.77
2025-09-04,12.21,13.19,11.99,13.19,321653.35,安记食品,12.95,12.63,11.89
2025-09-05,13.8,13.8,12.62,13.03,351611.41,安记食品,12.94,12.76,11.99
2025-09-08,13.17,13.42,12.9,12.94,267224.01,安记食品,12.85,12.84,12.09
2025-09-09,12.8,13.5,12.72,13.18,274714.59,安记食品,12.87,12.95,12.2
2025-09-10,13.08,13.91,12.92,13.58,310236.2,安记食品,13.18,13.06,12.32
2025-09-11,13.38,13.48,13.03,13.29,219704.97,安记食品,13.2,13.08,12.45
2025-09-12,13.16,13.39,13.05,13.05,162581.34,安记食品,13.21,13.08,12.56
2025-09-15,13.0,13.29,12.77,13.02,121631.84,安记食品,13.22,13.04,12.66
2025-09-16,12.9,13.06,12.82,12.91,94923.66,安记食品,13.17,13.02,12.76
2025-09-17,13.0,13.0,12.39,12.41,152787.21,安记食品,12.94,13.06,12.79
2025-09-18,12.39,12.97,12.35,12.64,151372.31,安记食品,12.81,13.0,12.82
2025-09-19,12.4,12.5,12.08,12.13,114588.85,安记食品,12.62,12.92,12.84
2025-09-22,12.19,12.36,11.87,12.02,82648.01,安记食品,12.42,12.82,12.83
2025-09-23,12.04,12.04,11.6,11.89,85855.72,安记食品,12.22,12.69,12.82
2025-09-24,11.91,12.02,11.81,11.92,66261.38,安记食品,12.12,12.53,12.79
2025-09-25,11.93,12.02,11.77,11.8,63235.78,安记食品,11.95,12.38,12.73
2025-09-26,11.76,12.13,11.7,12.01,94417.11,安记食品,11.93,12.28,12.68
2025-09-29,11.98,12.02,11.46,11.67,81257.34,安记食品,11.86,12.14,12.59
2025-09-30,11.7,11.75,11.58,11.58,50967.74,安记食品,11.8,12.01,12.51
2025-10-09,11.54,11.89,11.32,11.75,83169.05,安记食品,11.76,11.94,12.5
2025-10-10,11.76,12.2,11.68,11.89,78042.0,安记食品,11.78,11.87,12.44
2025-10-13,11.62,12.08,11.51,12.0,74776.73,安记食品,11.78,11.85,12.38
2025-10-14,11.98,12.28,11.9,11.99,73791.07,安记食品,11.84,11.85,12.34
2025-10-15,12.04,12.36,11.9,12.27,98025.92,安记食品,11.98,11.89,12.29
2025-10-16,12.25,12.28,11.96,12.02,72863.56,安记食品,12.03,11.9,12.21
2025-10-17,11.95,12.12,11.8,11.88,60410.0,安记食品,12.03,11.91,12.14
2025-10-20,11.92,12.01,11.76,11.88,52047.0,安记食品,12.01,11.89,12.08
2025-10-21,11.9,12.23,11.86,12.23,72522.14,安记食品,12.06,11.95,12.04
2025-10-22,12.2,12.4,12.11,12.13,54801.88,安记食品,12.03,12.0,12.01
2025-10-23,12.03,12.15,11.92,12.09,41394.0,安记食品,12.04,12.04,11.99
2025-10-24,12.16,12.17,11.87,11.98,48595.0,安记食品,12.06,12.05,11.96
2025-10-27,11.93,12.29,11.87,12.2,65839.92,安记食品,12.13,12.07,11.96
2025-10-28,12.27,12.35,12.08,12.24,64775.0,安记食品,12.13,12.09,11.97
2025-10-29,12.15,12.16,11.71,11.85,92160.96,安记食品,12.07,12.05,11.97
2025-10-30,11.78,11.88,11.58,11.62,64177.0,安记食品,11.98,12.01,11.95
2025-10-31,11.66,11.98,11.62,11.9,68239.0,安记食品,11.96,12.01,11.96
2025-11-03,11.99,12.08,11.76,12.03,50194.71,安记食品,11.93,12.03,11.96
2025-11-04,12.0,12.21,11.9,12.16,67205.85,安记食品,11.91,12.02,11.98
2025-11-05,12.19,13.38,12.1,13.38,196753.18,安记食品,12.22,12.14,12.07
2025-11-06,14.5,14.5,13.01,13.36,478496.7,安记食品,12.57,12.27,12.16
2025-11-07,13.29,13.68,12.94,13.55,319932.41,安记食品,12.9,12.43,12.24
2025-11-10,13.11,14.57,12.9,13.95,413101.93,安记食品,13.28,12.6,12.34
2025-11-11,13.8,14.5,13.5,14.26,385145.53,安记食品,13.7,12.81,12.45
2025-11-12,13.98,14.39,13.46,13.77,304415.83,安记食品,13.78,13.0,12.52
2025-11-13,13.77,14.3,13.41,14.11,323321.05,安记食品,13.93,13.25,12.63
2025-11-14,13.94,14.25,13.75,13.75,210529.07,安记食品,13.97,13.43,12.72
2025-11-17,13.75,13.94,13.57,13.58,151939.68,安记食品,13.89,13.59,12.81
2025-11-18,13.52,13.65,12.96,13.15,179822.44,安记食品,13.67,13.69,12.85
2025-11-19,13.15,13.29,12.68,12.73,93715.34,安记食品,13.46,13.62,12.88
2025-11-20,12.84,12.84,12.17,12.23,103969.37,安记食品,13.09,13.51,12.89
2025-11-21,12.17,12.44,11.5,11.52,109195.57,安记食品,12.64,13.31,12.87
2025-11-24,11.61,11.99,11.32,11.54,93698.3,安记食品,12.23,13.06,12.83
2025-11-25,11.6,12.08,11.46,11.92,106523.56,安记食品,11.99,12.83,12.82
2025-11-26,12.04,12.39,11.95,12.26,154912.23,安记食品,11.89,12.68,12.84
2025-11-27,12.11,12.68,12.05,12.34,182931.1,安记食品,11.92,12.5,12.87
2025-11-28,12.35,13.24,12.1,12.96,260272.64,安记食品,12.2,12.42,12.93
2025-12-01,13.0,13.57,13.0,13.3,212340.23,安记食品,12.56,12.4,12.99
2025-12-02,13.46,14.63,13.0,14.63,274016.62,安记食品,13.1,12.54,13.11
2025-12-03,16.09,16.09,14.63,16.09,611345.7,安记食品,13.86,12.88,13.25
2025-12-04,17.0,17.7,17.0,17.7,465531.33,安记食品,14.94,13.43,13.47
2025-12-05,17.34,19.47,17.34,19.47,245892.13,安记食品,16.24,14.22,13.76
2025-12-08,21.42,21.42,21.42,21.42,36158.73,安记食品,17.86,15.21,14.14
2025-12-09,22.5,23.56,20.36,23.56,585161.15,安记食品,19.65,16.37,14.6
2025-12-10,25.7,25.92,22.85,23.01,711791.1,安记食品,21.03,17.45,15.06
2025-12-11,21.86,22.5,20.71,20.71,633934.6,安记食品,21.63,18.28,15.39
2025-12-12,19.7,21.48,19.19,20.07,499754.71,安记食品,21.75,19.0,15.71
2025-12-15,21.0,21.98,20.41,20.58,506069.16,安记食品,21.59,19.72,16.06
2025-12-16,20.7,22.64,20.7,22.64,561356.77,安记食品,21.4,20.52,16.53
2025-12-17,23.3,23.8,20.38,20.38,532577.19,安记食品,20.88,20.95,16.92
2025-12-18,18.34,19.97,18.34,19.2,484561.22,安记食品,20.57,21.1,17.26
