date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,11.97,12.2,11.48,11.9,97785.6,宁水集团,11.9,11.9,11.9
2025-03-25,11.9,11.95,11.62,11.69,56299.43,宁水集团,11.8,11.8,11.8
2025-03-26,11.69,11.9,11.67,11.86,53850.78,宁水集团,11.82,11.82,11.82
2025-03-27,11.85,11.87,11.62,11.71,49017.76,宁水集团,11.79,11.79,11.79
2025-03-28,11.71,11.8,11.55,11.55,37212.5,宁水集团,11.74,11.74,11.74
2025-03-31,11.5,11.54,11.24,11.47,53555.5,宁水集团,11.66,11.7,11.7
2025-04-01,11.48,11.82,11.42,11.7,50329.0,宁水集团,11.66,11.7,11.7
2025-04-02,11.7,11.82,11.65,11.72,28023.0,宁水集团,11.63,11.7,11.7
2025-04-03,11.56,11.77,11.5,11.62,31988.0,宁水集团,11.61,11.69,11.69
2025-04-07,11.09,11.1,10.46,10.46,55151.9,宁水集团,11.39,11.57,11.57
2025-04-08,10.3,10.6,9.81,9.99,67892.0,宁水集团,11.1,11.38,11.42
2025-04-09,9.94,10.32,9.12,10.22,76691.95,宁水集团,10.8,11.23,11.32
2025-04-10,10.37,10.84,10.37,10.67,79283.34,宁水集团,10.59,11.11,11.27
2025-04-11,10.62,10.75,10.59,10.65,44632.0,宁水集团,10.4,11.0,11.23
2025-04-14,11.72,11.72,11.72,11.72,18110.0,宁水集团,10.65,11.02,11.26
2025-04-15,12.75,12.75,11.17,11.4,166359.18,宁水集团,10.93,11.01,11.27
2025-04-16,11.28,11.32,10.81,10.9,99727.95,宁水集团,11.07,10.94,11.25
2025-04-17,10.97,11.17,10.85,11.1,59457.0,宁水集团,11.15,10.87,11.24
2025-04-18,11.19,11.28,10.89,10.98,40980.0,宁水集团,11.22,10.81,11.23
2025-04-21,10.93,11.19,10.92,11.18,33975.0,宁水集团,11.11,10.88,11.22
2025-04-22,11.15,11.47,11.1,11.29,57745.7,宁水集团,11.09,11.01,11.19
2025-04-23,11.25,11.46,11.25,11.46,50039.7,宁水集团,11.2,11.14,11.18
2025-04-24,11.4,11.45,11.08,11.16,41756.36,宁水集团,11.21,11.18,11.15
2025-04-25,11.21,11.25,11.1,11.12,24105.36,宁水集团,11.24,11.23,11.12
2025-04-28,11.12,11.18,10.95,11.02,27228.48,宁水集团,11.21,11.16,11.09
2025-04-29,11.0,11.39,10.98,11.35,42650.3,宁水集团,11.22,11.16,11.09
2025-04-30,11.51,11.68,11.47,11.62,57732.48,宁水集团,11.25,11.23,11.08
2025-05-06,11.72,11.96,11.68,11.93,59117.5,宁水集团,11.41,11.31,11.09
2025-05-07,12.0,12.1,11.72,11.82,51520.3,宁水集团,11.55,11.4,11.1
2025-05-08,11.82,12.13,11.7,12.1,66268.0,宁水集团,11.76,11.49,11.18
2025-05-09,12.17,12.17,11.86,11.87,40087.0,宁水集团,11.87,11.54,11.28
2025-05-12,12.1,12.13,11.88,11.96,38505.3,宁水集团,11.94,11.6,11.36
2025-05-13,12.01,12.09,11.81,11.84,32693.0,宁水集团,11.92,11.66,11.42
2025-05-14,11.93,11.94,11.75,11.92,32878.0,宁水集团,11.94,11.74,11.49
2025-05-15,11.9,12.05,11.73,12.0,42911.0,宁水集团,11.92,11.84,11.5
2025-05-16,12.0,12.05,11.88,12.02,32009.0,宁水集团,11.95,11.91,11.53
2025-05-19,12.03,12.08,11.87,12.03,32003.0,宁水集团,11.96,11.95,11.59
2025-05-20,12.08,12.1,11.94,12.1,36749.0,宁水集团,12.01,11.97,11.64
2025-05-21,12.1,12.16,11.85,11.97,39001.0,宁水集团,12.02,11.98,11.69
2025-05-22,11.95,12.13,11.73,11.81,41646.0,宁水集团,11.99,11.95,11.72
2025-05-23,11.73,11.96,11.64,11.64,40809.0,宁水集团,11.91,11.93,11.74
2025-05-26,11.63,11.86,11.63,11.82,24605.0,宁水集团,11.87,11.92,11.76
2025-05-27,11.88,11.88,11.67,11.76,27417.0,宁水集团,11.8,11.91,11.78
2025-05-28,11.81,11.88,11.62,11.69,25838.0,宁水集团,11.74,11.88,11.81
2025-05-29,11.63,11.89,11.63,11.89,38596.0,宁水集团,11.76,11.87,11.86
2025-05-30,11.96,11.97,11.52,11.56,43844.0,宁水集团,11.74,11.83,11.87
2025-06-03,11.57,11.67,11.51,11.57,36679.0,宁水集团,11.69,11.78,11.86
2025-06-04,11.63,11.72,11.53,11.59,35440.0,宁水集团,11.66,11.73,11.85
2025-06-05,11.59,11.65,11.5,11.62,37781.0,宁水集团,11.65,11.7,11.84
2025-06-06,11.64,11.78,11.56,11.76,39829.0,宁水集团,11.62,11.69,11.82
2025-06-09,11.76,11.91,11.76,11.9,41851.2,宁水集团,11.69,11.72,11.82
2025-06-10,11.88,11.94,11.58,11.74,37830.0,宁水集团,11.72,11.71,11.81
2025-06-11,11.6,11.7,11.53,11.61,32441.2,宁水集团,11.73,11.69,11.8
2025-06-12,11.65,11.74,11.56,11.61,33641.23,宁水集团,11.72,11.68,11.78
2025-06-13,11.55,11.59,11.33,11.37,34903.23,宁水集团,11.65,11.63,11.75
2025-06-16,11.37,11.6,11.32,11.52,30480.0,宁水集团,11.57,11.63,11.73
2025-06-17,11.57,11.66,11.4,11.48,22773.0,宁水集团,11.52,11.62,11.7
2025-06-18,11.47,11.5,11.33,11.48,23775.5,宁水集团,11.49,11.61,11.67
2025-06-19,11.43,11.54,11.14,11.17,27938.3,宁水集团,11.4,11.56,11.63
2025-06-20,11.19,11.33,11.08,11.15,25940.1,宁水集团,11.36,11.5,11.6
2025-06-23,11.14,11.4,11.01,11.38,29026.0,宁水集团,11.33,11.45,11.58
2025-06-24,11.38,11.68,11.34,11.67,38242.0,宁水集团,11.37,11.44,11.58
2025-06-25,11.69,11.77,11.59,11.76,31758.0,宁水集团,11.43,11.46,11.58
2025-06-26,11.82,11.82,11.64,11.68,21999.0,宁水集团,11.53,11.47,11.58
2025-06-27,11.82,11.82,11.65,11.79,23259.08,宁水集团,11.66,11.51,11.57
2025-06-30,11.85,12.05,11.8,11.98,38704.0,宁水集团,11.78,11.55,11.59
2025-07-01,11.88,11.98,11.77,11.87,32651.0,宁水集团,11.82,11.59,11.61
2025-07-02,11.95,11.96,11.85,11.92,21196.0,宁水集团,11.85,11.64,11.62
2025-07-03,11.91,11.96,11.87,11.94,19861.0,宁水集团,11.9,11.71,11.64
2025-07-04,11.98,11.98,11.78,11.81,25097.0,宁水集团,11.9,11.78,11.64
2025-07-07,11.7,11.96,11.7,11.96,25929.0,宁水集团,11.9,11.84,11.64
2025-07-08,11.96,12.04,11.9,12.02,25077.0,宁水集团,11.93,11.87,11.66
2025-07-09,12.12,12.24,12.07,12.14,41239.3,宁水集团,11.97,11.91,11.68
2025-07-10,12.09,12.47,12.07,12.37,62882.4,宁水集团,12.06,11.98,11.72
2025-07-11,12.33,12.37,12.0,12.11,71740.5,宁水集团,12.12,12.01,11.76
2025-07-14,12.06,12.27,12.06,12.26,58463.3,宁水集团,12.18,12.04,11.8
2025-07-15,12.21,12.27,11.98,12.12,46448.0,宁水集团,12.2,12.07,11.83
2025-07-16,12.17,12.37,12.12,12.33,43409.0,宁水集团,12.24,12.11,11.87
2025-07-17,12.34,12.37,12.27,12.3,34025.0,宁水集团,12.22,12.14,11.93
2025-07-18,12.31,12.41,12.22,12.32,31629.0,宁水集团,12.27,12.19,11.99
2025-07-21,12.38,12.52,12.31,12.49,41034.1,宁水集团,12.31,12.25,12.04
2025-07-22,12.55,12.59,12.36,12.42,33377.0,宁水集团,12.37,12.29,12.08
2025-07-23,12.44,12.49,12.17,12.29,33894.0,宁水集团,12.36,12.3,12.11
2025-07-24,12.3,12.48,12.27,12.41,32965.0,宁水集团,12.39,12.31,12.14
2025-07-25,12.42,12.48,12.32,12.48,27329.0,宁水集团,12.42,12.34,12.18
2025-07-28,12.48,12.58,12.4,12.5,33320.0,宁水集团,12.42,12.37,12.2
2025-07-29,12.5,12.57,12.3,12.45,26957.99,宁水集团,12.43,12.4,12.23
2025-07-30,12.47,12.49,12.22,12.35,29398.0,宁水集团,12.44,12.4,12.25
2025-07-31,12.4,12.5,12.13,12.21,34932.0,宁水集团,12.4,12.39,12.27
2025-08-01,12.21,12.42,12.16,12.42,37160.0,宁水集团,12.39,12.4,12.3
2025-08-04,12.4,12.64,12.3,12.64,40484.1,宁水集团,12.41,12.42,12.33
2025-08-05,12.8,12.8,12.57,12.67,37374.8,宁水集团,12.46,12.44,12.36
2025-08-06,12.66,12.77,12.63,12.75,26325.3,宁水集团,12.54,12.49,12.39
2025-08-07,12.8,12.8,12.61,12.69,28733.6,宁水集团,12.63,12.52,12.41
2025-08-08,12.71,12.76,12.56,12.72,26534.0,宁水集团,12.69,12.54,12.44
2025-08-11,12.78,12.95,12.75,12.92,35255.46,宁水集团,12.75,12.58,12.47
2025-08-12,12.93,12.97,12.79,12.82,24825.76,宁水集团,12.78,12.62,12.51
2025-08-13,12.84,12.93,12.67,12.74,25527.0,宁水集团,12.78,12.66,12.53
2025-08-14,12.71,12.78,12.37,12.39,41254.0,宁水集团,12.72,12.68,12.53
2025-08-15,12.32,12.58,12.32,12.45,38110.0,宁水集团,12.66,12.68,12.54
2025-08-18,12.49,12.67,12.48,12.54,36854.5,宁水集团,12.59,12.67,12.54
2025-08-19,12.5,12.82,12.46,12.79,45216.45,宁水集团,12.58,12.68,12.56
2025-08-20,12.76,12.87,12.61,12.86,30778.0,宁水集团,12.61,12.69,12.59
2025-08-21,12.86,12.92,12.76,12.84,34314.32,宁水集团,12.7,12.71,12.61
2025-08-22,12.85,12.86,12.64,12.73,40038.13,宁水集团,12.75,12.71,12.62
2025-08-25,12.85,12.9,12.45,12.51,63934.36,宁水集团,12.75,12.67,12.62
2025-08-26,12.51,12.75,12.44,12.72,57420.1,宁水集团,12.73,12.66,12.64
2025-08-27,12.79,13.13,12.24,12.32,120336.28,宁水集团,12.62,12.61,12.64
2025-08-28,12.21,12.41,11.75,12.26,96764.97,宁水集团,12.51,12.6,12.64
2025-08-29,12.26,12.51,12.0,12.13,70619.4,宁水集团,12.39,12.57,12.62
2025-09-01,12.2,12.87,12.15,12.78,108656.43,宁水集团,12.44,12.59,12.63
2025-09-02,12.83,12.85,12.22,12.66,91714.56,宁水集团,12.43,12.58,12.63
2025-09-03,12.78,12.79,12.06,12.12,64217.9,宁水集团,12.39,12.51,12.6
2025-09-04,12.12,12.48,12.1,12.23,50784.97,宁水集团,12.38,12.45,12.58
2025-09-05,12.23,12.51,12.1,12.5,42719.8,宁水集团,12.46,12.42,12.57
2025-09-08,12.48,12.57,12.36,12.47,54306.8,宁水集团,12.4,12.42,12.54
2025-09-09,12.47,12.5,12.22,12.28,35976.27,宁水集团,12.32,12.38,12.52
2025-09-10,12.29,12.6,12.29,12.49,44959.3,宁水集团,12.39,12.39,12.5
2025-09-11,12.49,12.65,12.22,12.61,48522.0,宁水集团,12.47,12.43,12.51
2025-09-12,12.61,12.65,12.39,12.41,33856.0,宁水集团,12.45,12.46,12.51
2025-09-15,12.4,12.46,12.26,12.31,26225.0,宁水集团,12.42,12.41,12.5
2025-09-16,12.38,12.7,12.26,12.68,51846.0,宁水集团,12.5,12.41,12.5
2025-09-17,12.61,12.68,12.52,12.52,30415.32,宁水集团,12.51,12.45,12.48
2025-09-18,12.59,12.59,12.17,12.2,48895.3,宁水集团,12.42,12.45,12.45
2025-09-19,12.26,12.35,12.06,12.21,34578.0,宁水集团,12.38,12.42,12.42
2025-09-22,12.22,12.23,11.8,11.91,38142.12,宁水集团,12.3,12.36,12.39
2025-09-23,11.96,12.06,11.4,11.92,51438.0,宁水集团,12.15,12.33,12.35
2025-09-24,11.94,12.06,11.73,12.05,34440.37,宁水集团,12.06,12.28,12.34
2025-09-25,12.05,12.19,11.83,11.88,33308.0,宁水集团,11.99,12.21,12.32
2025-09-26,11.88,12.03,11.74,11.87,29028.5,宁水集团,11.93,12.16,12.3
2025-09-29,11.83,12.06,11.6,11.94,32410.0,宁水集团,11.93,12.12,12.26
2025-09-30,11.97,11.98,11.81,11.9,25750.0,宁水集团,11.93,12.04,12.22
2025-10-09,11.91,12.03,11.86,11.89,23399.3,宁水集团,11.9,11.98,12.21
2025-10-10,11.86,12.1,11.81,12.03,41889.3,宁水集团,11.93,11.96,12.2
2025-10-13,11.75,11.87,11.42,11.85,40489.0,宁水集团,11.92,11.92,12.17
2025-10-14,11.85,12.03,11.76,11.78,31457.74,宁水集团,11.89,11.91,12.14
2025-10-15,11.85,11.98,11.77,11.95,27869.22,宁水集团,11.9,11.91,12.12
2025-10-16,11.9,11.96,11.74,11.75,22877.22,宁水集团,11.87,11.88,12.08
2025-10-17,11.83,11.87,11.61,11.64,29202.0,宁水集团,11.79,11.86,12.03
2025-10-20,11.72,11.87,11.64,11.85,31208.99,宁水集团,11.79,11.86,12.01
2025-10-21,11.88,12.05,11.84,12.03,36472.32,宁水集团,11.84,11.87,11.99
2025-10-22,12.07,12.25,11.98,12.2,37205.9,宁水集团,11.89,11.9,11.97
2025-10-23,12.12,12.26,12.03,12.23,29840.0,宁水集团,11.99,11.93,11.95
2025-10-24,12.25,12.32,12.1,12.31,27846.06,宁水集团,12.12,11.96,11.96
2025-10-27,12.38,12.48,12.2,12.35,29233.4,宁水集团,12.22,12.01,11.97
2025-10-28,12.27,12.44,12.23,12.35,20732.0,宁水集团,12.29,12.07,11.99
2025-10-29,12.3,12.34,12.1,12.13,28326.26,宁水集团,12.27,12.08,12.0
2025-10-30,12.45,12.67,12.29,12.44,69768.0,宁水集团,12.32,12.15,12.02
2025-10-31,12.65,12.8,12.47,12.71,66009.75,宁水集团,12.4,12.26,12.06
2025-11-03,12.72,13.2,12.67,13.05,91941.26,宁水集团,12.54,12.38,12.12
2025-11-04,13.08,13.18,12.92,13.05,56026.36,宁水集团,12.68,12.48,12.17
2025-11-05,12.94,13.2,12.9,13.19,42401.37,宁水集团,12.89,12.58,12.24
2025-11-06,13.15,13.2,12.94,13.2,34545.8,宁水集团,13.04,12.68,12.3
2025-11-07,13.15,13.37,13.0,13.24,35648.32,宁水集团,13.15,12.77,12.36
2025-11-10,13.37,13.37,13.13,13.15,32690.8,宁水集团,13.17,12.85,12.43
2025-11-11,13.13,13.29,13.09,13.14,30621.0,宁水集团,13.18,12.93,12.5
2025-11-12,13.26,13.26,13.04,13.12,29468.99,宁水集团,13.17,13.03,12.56
2025-11-13,13.06,13.24,13.02,13.21,31298.0,宁水集团,13.17,13.11,12.63
2025-11-14,13.15,13.37,13.15,13.24,31317.9,宁水集团,13.17,13.16,12.71
2025-11-17,13.35,13.39,13.21,13.31,34155.0,宁水集团,13.2,13.18,12.78
2025-11-18,13.34,13.37,13.16,13.26,22107.0,宁水集团,13.23,13.21,12.84
2025-11-19,13.23,13.35,12.91,12.97,27212.0,宁水集团,13.2,13.18,12.88
2025-11-20,13.01,13.15,12.77,12.9,26751.0,宁水集团,13.14,13.15,12.92
2025-11-21,12.94,12.98,12.15,12.27,42703.0,宁水集团,12.94,13.06,12.91
2025-11-24,12.4,12.75,12.31,12.65,41924.3,宁水集团,12.81,13.01,12.93
2025-11-25,12.7,12.93,12.65,12.78,26704.46,宁水集团,12.71,12.97,12.95
2025-11-26,12.78,12.94,12.56,12.58,24978.9,宁水集团,12.64,12.92,12.97
2025-11-27,12.52,12.91,12.52,12.8,26029.0,宁水集团,12.62,12.88,12.99
2025-11-28,12.8,13.0,12.65,12.94,23076.0,宁水集团,12.75,12.85,13.0
2025-12-01,13.03,13.38,12.94,12.98,44354.01,宁水集团,12.82,12.81,13.0
2025-12-02,12.94,13.06,12.75,12.95,24044.0,宁水集团,12.85,12.78,12.99
2025-12-03,12.81,13.03,12.81,12.93,20379.0,宁水集团,12.92,12.78,12.98
2025-12-04,12.92,12.98,12.75,12.82,25367.5,宁水集团,12.92,12.77,12.96
2025-12-05,12.82,13.03,12.71,12.98,26936.41,宁水集团,12.93,12.84,12.95
2025-12-08,13.01,13.12,12.97,13.03,24697.0,宁水集团,12.94,12.88,12.94
2025-12-09,13.05,13.29,12.96,13.09,34612.11,宁水集团,12.97,12.91,12.94
2025-12-10,13.06,13.15,12.81,13.09,34709.0,宁水集团,13.0,12.96,12.94
2025-12-11,13.09,13.12,12.56,12.56,32399.3,宁水集团,12.95,12.94,12.91
2025-12-12,12.56,12.94,12.48,12.54,37542.0,宁水集团,12.86,12.9,12.87
2025-12-15,12.44,12.98,12.41,12.81,36701.3,宁水集团,12.82,12.88,12.85
2025-12-16,12.9,12.93,12.7,12.7,29482.3,宁水集团,12.74,12.86,12.82
2025-12-17,12.82,12.82,12.41,12.64,24952.0,宁水集团,12.65,12.83,12.8
2025-12-18,12.67,13.03,12.55,12.95,36890.0,宁水集团,12.73,12.84,12.8
