date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,35.33,36.22,35.18,36.06,554433.44,华友钴业,36.06,36.06,36.06
2025-03-25,36.31,36.48,35.26,35.45,329927.67,华友钴业,35.76,35.76,35.76
2025-03-26,35.58,36.75,35.55,35.6,418237.19,华友钴业,35.7,35.7,35.7
2025-03-27,35.31,35.44,34.7,35.12,269921.63,华友钴业,35.56,35.56,35.56
2025-03-28,35.2,35.29,34.68,34.78,208216.58,华友钴业,35.4,35.4,35.4
2025-03-31,34.35,34.84,33.78,34.07,309727.24,华友钴业,35.0,35.18,35.18
2025-04-01,34.1,34.29,33.67,33.79,227976.97,华友钴业,34.67,34.98,34.98
2025-04-02,33.81,34.24,33.72,33.95,170152.54,华友钴业,34.34,34.85,34.85
2025-04-03,33.6,33.93,33.18,33.23,241254.84,华友钴业,33.96,34.67,34.67
2025-04-07,30.0,31.33,29.91,29.91,401688.16,华友钴业,32.99,34.2,34.2
2025-04-08,29.36,29.87,28.28,28.93,681945.44,华友钴业,31.96,33.48,33.72
2025-04-09,28.2,29.37,27.37,29.37,553326.01,华友钴业,31.08,32.88,33.35
2025-04-10,30.6,30.63,29.87,30.36,491530.64,华友钴业,30.36,32.35,33.12
2025-04-11,30.15,31.0,30.01,30.73,311999.1,华友钴业,29.86,31.91,32.95
2025-04-14,31.15,31.65,30.97,31.16,286798.35,华友钴业,30.11,31.55,32.83
2025-04-15,31.16,31.21,30.74,31.02,182042.5,华友钴业,30.53,31.25,32.72
2025-04-16,31.02,31.02,30.15,30.8,231362.49,华友钴业,30.81,30.95,32.61
2025-04-17,30.56,31.03,30.51,30.9,175341.02,华友钴业,30.92,30.64,32.51
2025-04-18,30.81,32.39,30.6,31.88,406638.52,华友钴业,31.15,30.51,32.48
2025-04-21,32.95,33.97,32.33,33.82,605126.79,华友钴业,31.68,30.9,32.55
2025-04-22,33.65,33.88,33.4,33.43,351016.42,华友钴业,32.17,31.35,32.42
2025-04-23,33.8,33.85,33.23,33.59,358347.36,华友钴业,32.72,31.77,32.32
2025-04-24,33.25,33.99,33.2,33.45,301270.01,华友钴业,33.23,32.08,32.21
2025-04-25,33.6,34.56,33.37,34.1,377076.07,华友钴业,33.68,32.42,32.16
2025-04-28,34.09,34.09,33.33,33.36,260806.94,华友钴业,33.59,32.64,32.09
2025-04-29,33.26,33.86,33.21,33.48,204306.49,华友钴业,33.6,32.88,32.06
2025-04-30,33.4,34.08,33.4,33.88,238257.69,华友钴业,33.65,33.19,32.07
2025-05-06,34.01,34.69,33.96,34.46,292991.32,华友钴业,33.86,33.54,32.09
2025-05-07,35.05,35.1,33.99,34.31,270236.51,华友钴业,33.9,33.79,32.15
2025-05-08,34.02,34.53,34.02,34.31,169370.23,华友钴业,34.09,33.84,32.37
