date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,7.26,7.27,6.92,7.01,59830.0,歌力思,7.01,7.01,7.01
2025-03-25,7.01,7.02,6.87,6.99,40629.24,歌力思,7.0,7.0,7.0
2025-03-26,7.0,7.2,6.97,7.16,44143.75,歌力思,7.05,7.05,7.05
2025-03-27,7.11,7.22,7.03,7.13,31886.45,歌力思,7.07,7.07,7.07
2025-03-28,7.15,7.15,6.96,6.99,36272.0,歌力思,7.06,7.06,7.06
2025-03-31,6.92,6.94,6.76,6.8,40844.0,歌力思,7.01,7.01,7.01
2025-04-01,6.82,7.04,6.81,6.94,32083.25,歌力思,7.0,7.0,7.0
2025-04-02,7.01,7.05,6.93,7.0,28447.45,歌力思,6.97,7.0,7.0
2025-04-03,6.95,7.04,6.91,7.01,21906.0,歌力思,6.95,7.0,7.0
2025-04-07,6.77,6.77,6.31,6.31,57525.0,歌力思,6.81,6.93,6.93
2025-04-08,6.21,6.31,6.06,6.18,78119.17,歌力思,6.69,6.85,6.87
2025-04-09,6.1,6.29,5.76,6.24,65486.36,歌力思,6.55,6.78,6.81
2025-04-10,6.26,6.48,6.26,6.41,49842.64,歌力思,6.43,6.7,6.78
2025-04-11,6.38,6.52,6.37,6.42,28134.0,歌力思,6.31,6.63,6.76
2025-04-14,6.44,6.63,6.44,6.57,39422.95,歌力思,6.36,6.59,6.74
2025-04-15,6.56,6.72,6.52,6.72,37320.41,歌力思,6.47,6.58,6.74
2025-04-16,6.72,6.76,6.47,6.71,47333.69,歌力思,6.57,6.56,6.74
2025-04-17,6.69,6.94,6.61,6.8,49508.59,歌力思,6.64,6.54,6.74
2025-04-18,6.8,7.04,6.64,6.78,77438.0,歌力思,6.72,6.51,6.75
2025-04-21,6.76,6.84,6.65,6.75,45413.0,歌力思,6.75,6.56,6.75
2025-04-22,6.75,6.8,6.71,6.78,35616.0,歌力思,6.76,6.62,6.73
2025-04-23,6.81,6.85,6.68,6.69,30358.0,歌力思,6.76,6.66,6.72
2025-04-24,6.68,6.79,6.62,6.67,30636.0,歌力思,6.73,6.69,6.7
2025-04-25,6.7,6.77,6.67,6.71,28705.0,歌力思,6.72,6.72,6.67
2025-04-28,6.7,6.7,6.53,6.62,29772.0,歌力思,6.69,6.72,6.66
2025-04-29,6.72,7.13,6.72,6.97,112366.6,歌力思,6.73,6.75,6.66
2025-04-30,7.01,7.16,6.87,6.9,62615.15,歌力思,6.77,6.77,6.66
2025-05-06,6.95,7.12,6.95,7.09,63884.65,歌力思,6.86,6.8,6.67
2025-05-07,7.13,7.2,7.08,7.15,59513.75,歌力思,6.95,6.83,6.67
