date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,27.89,28.1,26.81,27.0,99442.96,顾家家居,27.0,27.0,27.0
2025-03-25,27.08,27.12,26.61,27.05,43138.57,顾家家居,27.02,27.02,27.02
2025-03-26,26.9,27.04,26.59,26.71,68758.51,顾家家居,26.92,26.92,26.92
2025-03-27,26.72,27.3,26.6,27.06,74061.23,顾家家居,26.96,26.96,26.96
2025-03-28,27.09,27.18,26.23,26.26,74003.6,顾家家居,26.82,26.82,26.82
2025-03-31,26.2,26.63,25.58,25.67,80603.06,顾家家居,26.55,26.62,26.62
2025-04-01,25.67,25.72,25.44,25.58,61521.2,顾家家居,26.26,26.48,26.48
2025-04-02,25.58,25.9,25.38,25.39,50005.11,顾家家居,25.99,26.34,26.34
2025-04-03,25.25,25.53,24.6,24.7,82653.86,顾家家居,25.52,26.16,26.16
2025-04-07,23.3,23.78,22.3,22.58,114088.27,顾家家居,24.78,25.8,25.8
2025-04-08,22.65,23.32,22.4,23.22,109639.52,顾家家居,24.29,25.42,25.57
2025-04-09,22.8,23.5,22.2,23.02,93412.3,顾家家居,23.78,25.02,25.35
2025-04-10,23.97,24.7,23.8,24.15,108686.21,顾家家居,23.53,24.76,25.26
2025-04-11,24.0,24.13,23.67,23.9,40397.49,顾家家居,23.37,24.45,25.16
2025-04-14,23.99,24.15,23.67,23.85,63473.5,顾家家居,23.63,24.21,25.08
2025-04-15,23.78,24.0,23.31,23.95,75585.0,顾家家居,23.77,24.03,25.01
2025-04-16,23.75,24.28,23.46,23.65,57142.6,顾家家居,23.9,23.84,24.93
2025-04-17,23.54,24.33,23.43,23.82,92652.29,顾家家居,23.83,23.68,24.86
2025-04-18,23.82,23.88,23.18,23.28,52020.74,顾家家居,23.71,23.54,24.78
2025-04-21,23.17,23.49,22.97,23.17,62713.07,顾家家居,23.57,23.6,24.7
2025-04-22,23.17,23.38,23.03,23.29,44963.88,顾家家居,23.44,23.61,24.52
2025-04-23,23.33,23.65,23.02,23.12,54269.0,顾家家居,23.34,23.62,24.32
2025-04-24,23.14,23.57,23.1,23.5,66631.7,顾家家居,23.27,23.55,24.16
2025-04-25,23.47,24.12,23.4,23.54,77450.02,顾家家居,23.32,23.52,23.98
2025-04-28,23.5,23.77,22.7,22.79,81214.16,顾家家居,23.25,23.41,23.81
2025-04-29,24.02,25.07,24.02,25.07,170122.67,顾家家居,23.6,23.52,23.78
2025-04-30,25.12,25.75,24.91,24.94,158988.04,顾家家居,23.97,23.65,23.75
2025-05-06,25.1,25.6,24.96,25.43,108372.05,顾家家居,24.35,23.81,23.75
2025-05-07,25.5,25.85,25.01,25.13,79162.67,顾家家居,24.67,24.0,23.77
2025-05-08,25.0,25.55,24.98,25.0,108814.62,顾家家居,25.11,24.18,23.89
2025-05-09,25.0,25.42,24.85,24.99,84269.31,顾家家居,25.1,24.35,23.98
2025-05-12,25.22,25.92,25.22,25.64,127822.2,顾家家居,25.24,24.6,24.11
2025-05-13,26.0,26.31,25.71,25.83,88123.67,顾家家居,25.32,24.84,24.19
2025-05-14,25.68,25.77,25.3,25.52,59749.6,顾家家居,25.4,25.03,24.28
2025-05-15,25.6,25.75,25.2,25.52,49104.6,顾家家居,25.5,25.31,24.36
2025-05-16,25.46,25.63,25.21,25.45,28428.69,顾家家居,25.59,25.34,24.43
2025-05-19,25.44,25.65,25.24,25.57,32888.06,顾家家居,25.58,25.41,24.53
2025-05-20,25.5,26.05,25.45,25.98,45721.34,顾家家居,25.61,25.46,24.64
2025-05-21,26.02,26.15,25.82,25.85,33711.19,顾家家居,25.67,25.54,24.77
2025-05-22,25.81,26.11,25.7,25.78,26231.32,顾家家居,25.73,25.61,24.9
2025-05-23,25.73,26.04,25.66,25.7,33060.96,顾家家居,25.78,25.68,25.02
2025-05-26,25.69,25.85,25.2,25.32,47887.85,顾家家居,25.73,25.65,25.13
2025-05-27,25.3,25.37,24.86,25.0,53142.76,顾家家居,25.53,25.57,25.2
