date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,10.06,10.09,9.5,9.72,37248.0,好莱客,9.72,9.72,9.72
2025-03-25,9.71,9.94,9.64,9.92,19107.13,好莱客,9.82,9.82,9.82
2025-03-26,9.93,10.18,9.86,10.1,19896.0,好莱客,9.91,9.91,9.91
2025-03-27,10.09,10.09,9.72,9.9,11854.0,好莱客,9.91,9.91,9.91
2025-03-28,9.91,9.99,9.78,9.84,13718.13,好莱客,9.9,9.9,9.9
2025-03-31,9.79,9.89,9.66,9.71,11852.13,好莱客,9.89,9.86,9.86
2025-04-01,9.7,9.96,9.7,9.87,24683.0,好莱客,9.88,9.87,9.87
2025-04-02,9.87,10.19,9.87,10.12,20485.0,好莱客,9.89,9.9,9.9
2025-04-03,10.12,10.16,9.92,10.02,14402.0,好莱客,9.91,9.91,9.91
2025-04-07,9.66,9.75,9.02,9.02,28908.8,好莱客,9.75,9.82,9.82
2025-04-08,9.21,9.25,8.69,8.86,26090.93,好莱客,9.58,9.74,9.73
2025-04-09,8.8,8.87,8.28,8.84,24899.0,好莱客,9.37,9.63,9.66
2025-04-10,8.88,9.33,8.87,9.18,20581.0,好莱客,9.18,9.54,9.62
2025-04-11,9.19,9.37,9.12,9.23,12238.0,好莱客,9.03,9.47,9.59
2025-04-14,9.25,9.68,9.25,9.66,15197.0,好莱客,9.15,9.45,9.6
2025-04-15,9.67,9.72,9.53,9.69,14844.0,好莱客,9.32,9.45,9.6
2025-04-16,9.68,9.83,9.43,9.53,23428.0,好莱客,9.46,9.41,9.6
2025-04-17,9.6,9.82,9.48,9.75,16494.6,好莱客,9.57,9.38,9.61
2025-04-18,9.85,9.87,9.45,9.56,11631.6,好莱客,9.64,9.33,9.61
2025-04-21,9.55,9.96,9.47,9.8,17474.0,好莱客,9.67,9.41,9.62
2025-04-22,9.8,10.07,9.78,9.96,13697.0,好莱客,9.72,9.52,9.63
2025-04-23,9.96,10.05,9.88,10.0,12176.0,好莱客,9.81,9.64,9.63
2025-04-24,9.4,10.22,9.4,9.9,14728.0,好莱客,9.84,9.71,9.62
2025-04-25,10.0,10.0,9.81,9.9,10341.13,好莱客,9.91,9.78,9.62
2025-04-28,9.86,9.94,9.7,9.74,7994.02,好莱客,9.9,9.78,9.62
2025-04-29,9.69,9.99,9.66,9.92,16148.0,好莱客,9.89,9.81,9.63
2025-04-30,9.98,10.09,9.87,9.89,12135.0,好莱客,9.87,9.84,9.63
2025-05-06,9.98,10.08,9.97,10.02,15830.0,好莱客,9.89,9.87,9.62
2025-05-07,10.07,10.25,10.02,10.14,19086.02,好莱客,9.94,9.93,9.63
2025-05-08,10.09,10.4,10.09,10.34,17616.0,好莱客,10.06,9.98,9.7
2025-05-09,10.38,11.37,10.35,10.81,83635.99,好莱客,10.24,10.07,9.79
2025-05-12,10.77,10.98,10.5,10.61,64403.99,好莱客,10.38,10.13,9.88
2025-05-13,10.63,11.01,10.57,10.78,38659.0,好莱客,10.54,10.22,9.96
2025-05-14,10.82,10.87,10.67,10.7,19535.0,好莱客,10.65,10.3,10.04
2025-05-15,10.68,10.77,10.55,10.72,18689.0,好莱客,10.72,10.39,10.09
2025-05-16,10.73,10.81,10.61,10.74,11614.0,好莱客,10.71,10.48,10.14
2025-05-19,10.74,10.98,10.72,10.95,19094.0,好莱客,10.78,10.58,10.21
2025-05-20,11.0,11.77,10.86,11.35,44281.0,好莱客,10.89,10.71,10.29
2025-05-21,11.34,11.6,11.3,11.44,31870.0,好莱客,11.04,10.84,10.39
2025-05-22,11.48,11.7,11.4,11.6,32504.8,好莱客,11.22,10.97,10.48
2025-05-23,11.53,11.67,11.35,11.45,23869.8,好莱客,11.36,11.03,10.55
2025-05-26,11.46,11.86,11.42,11.58,26766.01,好莱客,11.48,11.13,10.63
2025-05-27,11.6,11.83,11.51,11.8,22210.8,好莱客,11.57,11.23,10.72
2025-05-28,11.8,11.8,11.52,11.67,24970.0,好莱客,11.62,11.33,10.81
2025-05-29,11.6,11.73,11.59,11.61,15723.0,好莱客,11.62,11.42,10.91
2025-05-30,11.0,11.83,11.0,11.56,32375.0,好莱客,11.64,11.5,10.99
2025-06-03,11.56,11.8,11.52,11.54,18821.0,好莱客,11.64,11.56,11.07
2025-06-04,11.57,11.66,11.43,11.5,19627.0,好莱客,11.58,11.58,11.14
2025-06-05,11.48,11.6,11.37,11.49,19220.0,好莱客,11.54,11.58,11.21
2025-06-06,11.54,11.87,11.52,11.82,25701.7,好莱客,11.58,11.6,11.29
2025-06-09,11.87,11.98,11.62,11.78,26590.0,好莱客,11.63,11.64,11.33
2025-06-10,11.79,11.95,11.49,11.65,25416.8,好莱客,11.65,11.64,11.39
2025-06-11,11.59,11.74,11.55,11.59,20860.0,好莱客,11.67,11.62,11.43
2025-06-12,11.53,11.57,11.32,11.46,21813.0,好莱客,11.66,11.6,11.46
2025-06-13,11.43,11.43,11.1,11.16,15428.0,好莱客,11.53,11.56,11.49
2025-06-16,11.11,11.24,11.01,11.11,22427.0,好莱客,11.39,11.51,11.51
2025-06-17,11.1,11.17,10.87,10.95,27057.01,好莱客,11.25,11.45,11.51
2025-06-18,10.9,10.94,10.57,10.67,26500.3,好莱客,11.07,11.37,11.47
2025-06-19,10.69,10.75,10.5,10.53,17805.0,好莱客,10.88,11.27,11.43
2025-06-20,10.55,10.6,10.24,10.32,25250.0,好莱客,10.72,11.12,11.36
2025-06-23,10.32,10.45,10.16,10.4,26064.0,好莱客,10.57,10.98,11.31
2025-06-24,10.48,10.6,10.42,10.58,19938.0,好莱客,10.5,10.88,11.26
2025-06-25,10.64,10.72,10.55,10.68,24512.0,好莱客,10.5,10.79,11.2
2025-06-26,10.74,10.77,10.55,10.63,15538.0,好莱客,10.52,10.7,11.15
2025-06-27,10.66,10.76,10.59,10.7,19174.0,好莱客,10.6,10.66,11.11
2025-06-30,10.71,11.0,10.71,10.99,25560.0,好莱客,10.72,10.64,11.08
2025-07-01,10.99,11.2,10.88,10.92,19336.0,好莱客,10.78,10.64,11.05
2025-07-02,11.36,11.36,10.86,10.93,19282.0,好莱客,10.83,10.67,11.02
2025-07-03,10.93,11.01,10.82,10.89,15689.0,好莱客,10.89,10.7,10.99
2025-07-04,10.86,10.92,10.73,10.76,18129.92,好莱客,10.9,10.75,10.93
2025-07-07,10.75,10.98,10.74,10.96,14567.0,好莱客,10.89,10.8,10.89
2025-07-08,10.98,11.04,10.88,10.93,12802.0,好莱客,10.89,10.84,10.86
