date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,13.71,14.0,13.4,13.66,129299.0,华通线缆,13.66,13.66,13.66
2025-03-25,13.86,13.99,13.45,13.6,124048.0,华通线缆,13.63,13.63,13.63
2025-03-26,13.55,14.13,13.51,14.06,180222.0,华通线缆,13.77,13.77,13.77
2025-03-27,13.85,14.42,13.67,14.27,167296.0,华通线缆,13.9,13.9,13.9
2025-03-28,14.27,14.42,13.75,13.82,92116.0,华通线缆,13.88,13.88,13.88
2025-03-31,13.74,13.9,13.45,13.6,64567.0,华通线缆,13.87,13.84,13.84
2025-04-01,13.6,13.93,13.52,13.53,39809.0,华通线缆,13.86,13.79,13.79
2025-04-02,13.55,14.28,13.43,14.01,87920.0,华通线缆,13.85,13.82,13.82
2025-04-03,13.81,13.88,13.05,13.4,173207.64,华通线缆,13.67,13.77,13.77
2025-04-07,12.06,12.67,12.06,12.06,258252.0,华通线缆,13.32,13.6,13.6
2025-04-08,12.06,12.36,11.51,11.9,140801.0,华通线缆,12.98,13.42,13.45
2025-04-09,11.8,11.8,10.72,11.5,195930.58,华通线缆,12.57,13.22,13.28
2025-04-10,12.44,12.47,12.05,12.25,207282.0,华通线缆,12.22,13.03,13.2
2025-04-11,12.14,12.35,11.94,12.12,92489.0,华通线缆,11.97,12.82,13.13
2025-04-14,12.38,12.39,12.0,12.22,107619.0,华通线缆,12.0,12.66,13.07
2025-04-15,12.1,12.31,12.0,12.18,69407.0,华通线缆,12.05,12.52,13.01
2025-04-16,12.06,12.09,11.5,11.64,92804.0,华通线缆,12.08,12.33,12.93
2025-04-17,11.63,12.25,11.6,12.14,96549.0,华通线缆,12.06,12.14,12.89
2025-04-18,12.0,13.17,12.0,12.45,139673.0,华通线缆,12.13,12.05,12.86
2025-04-21,12.36,12.5,12.08,12.19,108508.0,华通线缆,12.12,12.06,12.83
2025-04-22,12.1,12.18,11.8,11.88,110402.63,华通线缆,12.06,12.06,12.74
2025-04-23,12.0,12.47,12.0,12.1,74419.0,华通线缆,12.15,12.12,12.67
2025-04-24,11.99,12.79,11.95,12.57,123283.63,华通线缆,12.24,12.15,12.59
2025-04-25,12.61,13.02,12.53,12.7,121647.76,华通线缆,12.29,12.21,12.51
2025-04-28,12.4,13.46,12.31,13.3,166821.0,华通线缆,12.51,12.32,12.49
2025-04-29,13.0,13.75,12.88,13.37,112094.0,华通线缆,12.81,12.43,12.48
2025-04-30,13.38,13.64,13.08,13.5,78583.0,华通线缆,13.09,12.62,12.47
2025-05-06,13.71,14.2,13.7,14.08,78032.0,华通线缆,13.39,12.81,12.48
