date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,82.48,82.5,78.03,79.05,47771.75,华大智造,79.05,79.05,79.05
2025-03-25,79.7,84.3,78.92,80.18,52012.04,华大智造,79.62,79.62,79.62
2025-03-26,80.56,81.27,78.8,79.26,22911.9,华大智造,79.5,79.5,79.5
2025-03-27,79.67,80.66,77.77,79.63,25665.96,华大智造,79.53,79.53,79.53
2025-03-28,79.35,81.72,78.92,80.01,36994.95,华大智造,79.63,79.63,79.63
2025-03-31,80.0,80.0,76.61,78.25,48101.54,华大智造,79.47,79.4,79.4
2025-04-01,78.8,81.96,78.37,78.82,47317.02,华大智造,79.19,79.31,79.31
2025-04-02,78.22,80.34,77.8,80.07,34722.62,华大智造,79.36,79.41,79.41
2025-04-03,79.0,80.7,77.2,77.8,34814.95,华大智造,78.99,79.23,79.23
2025-04-07,72.0,82.84,71.8,76.09,87338.05,华大智造,78.21,78.92,78.92
2025-04-08,78.11,80.49,73.63,75.6,70675.73,华大智造,77.68,78.57,78.61
2025-04-09,74.51,83.24,73.5,78.6,79047.0,华大智造,77.63,78.41,78.61
2025-04-10,79.8,82.9,78.65,79.6,57330.75,华大智造,77.54,78.45,78.69
2025-04-11,79.05,83.9,78.87,82.37,52705.73,华大智造,78.45,78.72,78.95
2025-04-14,81.58,82.49,78.6,79.5,52410.36,华大智造,79.13,78.67,78.99
2025-04-15,78.75,79.48,74.3,76.25,51302.63,华大智造,79.26,78.47,78.82
2025-04-16,74.93,77.76,74.68,75.86,26898.01,华大智造,78.72,78.17,78.64
2025-04-17,75.01,78.44,75.01,75.99,32555.91,华大智造,77.99,77.77,78.5
2025-04-18,75.61,77.38,74.61,75.75,16958.82,华大智造,76.67,77.56,78.35
2025-04-21,75.8,76.2,74.1,75.92,22504.32,华大智造,75.95,77.54,78.23
2025-04-22,75.58,81.61,74.66,79.3,54513.32,华大智造,76.56,77.91,78.24
2025-04-23,79.56,80.13,77.8,78.84,24650.61,华大智造,77.16,77.94,78.18
2025-04-24,78.84,78.84,72.18,73.51,61880.88,华大智造,76.66,77.33,77.89
2025-04-25,73.54,75.18,72.84,73.25,22231.19,华大智造,76.16,76.42,77.57
