date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,36.48,36.48,33.87,34.93,31265.91,长盈通,34.93,34.93,34.93
2025-03-25,35.85,36.49,33.45,33.94,42852.8,长盈通,34.44,34.44,34.44
2025-03-26,33.8,34.58,32.22,32.67,51107.92,长盈通,33.85,33.85,33.85
2025-03-27,32.6,33.48,31.73,32.5,23485.05,长盈通,33.51,33.51,33.51
2025-03-28,32.67,33.1,31.66,31.86,19696.43,长盈通,33.18,33.18,33.18
2025-03-31,31.37,32.5,30.8,32.23,23667.13,长盈通,32.64,33.02,33.02
2025-04-01,32.0,33.26,31.9,32.08,20680.44,长盈通,32.27,32.89,32.89
2025-04-02,32.08,32.66,31.7,32.33,11894.64,长盈通,32.2,32.82,32.82
2025-04-03,32.0,32.86,31.02,32.03,16446.9,长盈通,32.11,32.73,32.73
2025-04-07,29.21,30.49,26.03,27.09,62567.35,长盈通,31.15,32.17,32.17
2025-04-08,27.6,28.8,27.1,27.55,33600.65,长盈通,30.22,31.43,31.75
2025-04-09,26.65,31.5,26.19,30.76,47758.74,长盈通,29.95,31.11,31.66
2025-04-10,30.89,31.9,30.51,30.75,27631.31,长盈通,29.64,30.92,31.59
2025-04-11,31.29,32.5,31.01,31.8,23611.3,长盈通,29.59,30.85,31.61
2025-04-14,32.29,32.29,30.15,30.15,34943.01,长盈通,30.2,30.68,31.51
2025-04-15,30.49,30.64,29.33,30.23,25163.56,长盈通,30.74,30.48,31.43
2025-04-16,30.22,30.92,28.35,29.19,23141.91,长盈通,30.42,30.19,31.3
2025-04-17,28.64,29.75,28.64,28.85,15609.16,长盈通,30.04,29.84,31.16
2025-04-18,28.94,29.88,28.56,28.87,16004.64,长盈通,29.46,29.52,31.04
2025-04-21,29.29,30.27,28.6,30.19,17504.4,长盈通,29.47,29.83,31.0
2025-04-22,29.92,30.35,29.36,29.85,12992.47,长盈通,29.39,30.06,30.75
2025-04-23,30.0,30.8,29.92,30.34,12936.11,长盈通,29.62,30.02,30.57
2025-04-24,30.94,30.94,28.5,28.73,26017.36,长盈通,29.6,29.82,30.37
2025-04-25,28.77,30.08,28.6,29.43,15940.85,长盈通,29.71,29.58,30.22
2025-04-28,29.21,31.48,28.86,30.59,31865.93,长盈通,29.79,29.63,30.15
2025-04-29,30.41,31.7,29.92,30.72,24440.62,长盈通,29.96,29.68,30.08
2025-04-30,30.7,32.39,30.26,31.82,24395.59,长盈通,30.26,29.94,30.06
2025-05-06,31.86,33.26,31.76,33.21,29259.87,长盈通,31.15,30.38,30.11
2025-05-07,33.3,34.28,31.79,34.28,49893.48,长盈通,32.12,30.92,30.22
2025-05-08,33.5,34.71,33.15,34.46,38473.33,长盈通,32.9,31.34,30.59
2025-05-09,34.0,37.2,32.82,35.6,39846.14,长盈通,33.87,31.92,30.99
2025-05-12,35.6,36.91,34.23,36.18,40394.75,长盈通,34.75,32.5,31.26
2025-05-13,35.84,35.96,33.61,34.08,36049.35,长盈通,34.92,33.04,31.43
2025-05-14,34.16,34.69,33.4,33.73,16764.5,长盈通,34.81,33.47,31.52
