date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,24.95,24.98,23.66,24.07,94618.99,概伦电子,24.07,24.07,24.07
2025-03-25,24.25,24.88,23.45,23.62,64883.5,概伦电子,23.84,23.84,23.84
2025-03-26,23.5,23.96,23.28,23.63,46215.26,概伦电子,23.77,23.77,23.77
2025-03-27,23.68,24.22,23.3,23.75,36868.69,概伦电子,23.77,23.77,23.77
2025-04-14,28.39,28.39,24.2,24.92,217693.67,概伦电子,24.0,24.0,24.0
2025-04-15,25.0,25.24,23.0,23.08,132900.54,概伦电子,23.8,23.84,23.84
2025-04-16,23.24,24.5,22.06,22.42,103662.73,概伦电子,23.56,23.64,23.64
2025-04-17,22.14,23.29,22.11,22.23,72828.44,概伦电子,23.28,23.46,23.46
2025-04-18,22.17,22.35,21.36,21.63,58442.65,概伦电子,22.86,23.26,23.26
2025-04-21,21.65,22.14,21.45,21.92,43145.47,概伦电子,22.26,23.13,23.13
2025-04-22,21.92,21.92,21.11,21.68,44120.89,概伦电子,21.98,22.89,23.0
2025-04-23,21.67,21.96,21.25,21.33,44656.05,概伦电子,21.76,22.66,22.86
2025-04-24,21.34,21.35,20.69,21.0,36298.25,概伦电子,21.51,22.4,22.71
2025-04-25,21.0,21.2,20.6,21.06,32756.86,概伦电子,21.4,22.13,22.6
2025-04-28,21.39,21.41,20.51,20.75,36589.76,概伦电子,21.16,21.71,22.47
2025-04-29,20.76,21.21,20.52,20.8,34683.04,概伦电子,20.99,21.48,22.37
2025-04-30,21.41,22.67,21.21,22.1,91916.25,概伦电子,21.14,21.45,22.35
2025-05-06,22.2,23.99,22.19,23.84,106918.73,概伦电子,21.71,21.61,22.44
2025-05-07,24.05,24.24,23.32,23.48,66218.3,概伦电子,22.19,21.8,22.49
2025-05-08,23.44,24.91,23.34,24.48,90532.22,概伦电子,22.94,22.05,22.59
2025-05-09,24.4,24.48,23.45,24.04,58527.33,概伦电子,23.59,22.29,22.59
2025-05-12,24.06,24.29,23.63,23.75,45109.79,概伦电子,23.92,22.53,22.59
2025-05-13,24.07,24.38,23.34,24.2,61905.63,概伦电子,23.99,22.85,22.62
2025-05-14,24.1,24.3,23.4,23.67,35810.91,概伦电子,24.03,23.11,22.62
2025-05-15,23.49,23.87,23.23,23.65,28896.28,概伦电子,23.86,23.4,22.56
2025-05-16,23.72,24.04,23.4,23.75,28243.17,概伦电子,23.8,23.7,22.59
2025-05-19,24.28,24.53,23.6,23.75,44274.68,概伦电子,23.8,23.86,22.66
2025-05-20,23.85,23.95,23.4,23.55,29515.5,概伦电子,23.67,23.83,22.72
2025-05-21,23.64,24.22,23.25,23.85,32721.22,概伦电子,23.71,23.87,22.83
2025-05-22,23.77,23.96,23.22,23.55,30043.56,概伦电子,23.69,23.78,22.91
2025-05-23,23.46,24.49,23.27,23.27,34267.48,概伦电子,23.59,23.7,22.99
2025-05-26,23.2,23.89,23.19,23.41,26609.74,概伦电子,23.53,23.66,23.1
2025-05-27,23.47,23.58,23.08,23.52,20704.27,概伦电子,23.52,23.6,23.22
2025-05-28,23.31,23.79,23.0,23.14,21428.56,概伦电子,23.38,23.54,23.33
2025-05-29,25.73,27.77,25.7,27.77,218574.69,概伦电子,24.22,23.96,23.68
2025-05-30,28.0,29.22,26.28,28.95,322942.82,概伦电子,25.36,24.48,24.09
2025-06-03,28.19,33.19,27.6,31.79,303089.27,概伦电子,27.03,25.28,24.57
2025-06-04,30.89,30.95,28.64,28.8,249276.34,概伦电子,28.09,25.8,24.82
2025-06-05,28.23,28.92,27.66,28.85,195264.27,概伦电子,29.23,26.3,25.09
2025-06-06,28.25,28.31,27.03,27.66,128956.28,概伦电子,29.21,26.72,25.25
2025-06-09,27.66,27.91,27.3,27.45,96676.82,概伦电子,28.91,27.13,25.42
2025-06-10,27.31,27.51,26.18,26.6,120785.31,概伦电子,27.87,27.45,25.56
2025-06-11,26.25,26.98,26.25,26.42,81415.31,概伦电子,27.4,27.74,25.67
2025-06-12,26.32,26.8,25.99,26.1,65987.08,概伦电子,26.85,28.04,25.79
2025-06-13,25.9,26.45,25.82,25.89,73972.23,概伦电子,26.49,27.85,25.9
2025-06-16,25.76,26.29,25.62,26.04,55517.47,概伦电子,26.21,27.56,26.02
2025-06-17,26.0,26.49,25.86,26.2,54282.76,概伦电子,26.13,27.0,26.14
2025-06-18,26.0,26.35,25.79,26.05,45210.06,概伦电子,26.06,26.73,26.27
2025-06-19,26.0,26.66,25.41,25.5,83966.17,概伦电子,25.94,26.39,26.35
2025-06-20,25.41,26.14,25.4,25.56,52724.54,概伦电子,25.87,26.18,26.45
2025-06-23,25.2,26.79,25.0,26.37,91910.74,概伦电子,25.94,26.07,26.6
