date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,16.55,16.55,15.35,15.61,22275.61,艾隆科技,15.61,15.61,15.61
2025-03-25,15.68,15.68,15.06,15.48,18003.14,艾隆科技,15.54,15.54,15.54
2025-03-26,15.47,16.12,15.28,15.96,14885.08,艾隆科技,15.68,15.68,15.68
2025-03-27,15.8,16.14,15.51,15.96,13549.48,艾隆科技,15.75,15.75,15.75
2025-03-28,15.83,16.09,15.57,15.64,8358.65,艾隆科技,15.73,15.73,15.73
2025-03-31,15.59,15.6,15.1,15.4,14731.94,艾隆科技,15.69,15.68,15.68
2025-04-01,15.46,16.29,15.46,15.9,17239.49,艾隆科技,15.77,15.71,15.71
2025-04-02,15.91,16.24,15.8,16.14,8811.28,艾隆科技,15.81,15.76,15.76
2025-04-03,15.7,16.34,15.7,15.86,10532.12,艾隆科技,15.79,15.77,15.77
2025-04-07,15.01,15.23,13.07,13.34,19947.16,艾隆科技,15.33,15.53,15.53
2025-04-08,13.41,14.26,13.41,13.66,14209.82,艾隆科技,14.98,15.33,15.36
2025-04-09,13.66,14.28,12.8,14.15,16370.73,艾隆科技,14.63,15.2,15.26
2025-04-10,14.23,15.18,14.23,14.81,15466.18,艾隆科技,14.36,15.09,15.22
2025-04-11,14.99,15.04,14.62,14.86,8093.57,艾隆科技,14.16,14.98,15.2
2025-04-14,14.91,15.29,14.86,14.89,6606.55,艾隆科技,14.47,14.9,15.18
2025-04-15,14.79,15.19,14.78,14.96,7656.77,艾隆科技,14.73,14.86,15.16
2025-04-16,14.91,15.04,14.36,14.71,8412.57,艾隆科技,14.85,14.74,15.14
2025-04-17,14.71,15.12,14.52,14.88,8637.13,艾隆科技,14.86,14.61,15.12
2025-04-18,14.82,15.05,14.58,14.9,7202.04,艾隆科技,14.87,14.52,15.11
2025-04-21,14.97,15.19,14.6,15.01,8758.13,艾隆科技,14.89,14.68,15.11
2025-04-22,15.09,15.44,14.8,15.07,8117.96,艾隆科技,14.91,14.82,15.08
2025-04-23,15.13,15.3,15.0,15.09,7111.87,艾隆科技,14.99,14.92,15.06
2025-04-24,15.27,15.27,14.7,14.83,7375.35,艾隆科技,14.98,14.92,15.0
2025-04-25,15.04,15.05,14.75,14.8,7727.34,艾隆科技,14.96,14.91,14.95
2025-04-28,14.92,14.92,14.45,14.73,10310.07,艾隆科技,14.9,14.9,14.9
2025-04-29,14.5,15.3,14.5,15.12,14615.79,艾隆科技,14.91,14.91,14.89
2025-04-30,15.12,15.85,15.12,15.7,12014.05,艾隆科技,15.04,15.01,14.88
2025-05-06,15.75,16.31,15.75,16.08,19952.38,艾隆科技,15.29,15.13,14.87
2025-05-07,16.28,16.44,16.04,16.16,15168.29,艾隆科技,15.56,15.26,14.89
2025-05-08,16.29,16.48,16.13,16.35,13923.71,艾隆科技,15.88,15.39,15.04
2025-05-09,16.32,16.44,16.11,16.2,12127.34,艾隆科技,16.1,15.51,15.16
2025-05-12,16.41,16.7,16.17,16.47,13160.35,艾隆科技,16.25,15.64,15.28
2025-05-13,16.61,16.77,16.39,16.39,12185.83,艾隆科技,16.31,15.8,15.36
2025-05-14,16.48,16.57,16.12,16.3,10533.18,艾隆科技,16.34,15.95,15.43
2025-05-15,16.33,16.38,16.05,16.3,11936.49,艾隆科技,16.33,16.11,15.5
2025-05-16,16.45,16.76,16.19,16.56,12724.26,艾隆科技,16.4,16.25,15.58
2025-05-19,16.59,16.88,16.38,16.79,10128.62,艾隆科技,16.47,16.36,15.69
2025-05-20,16.96,17.14,16.74,17.12,12201.13,艾隆科技,16.61,16.46,15.8
2025-05-21,17.19,17.25,16.72,16.9,9978.58,艾隆科技,16.73,16.54,15.9
2025-05-22,16.82,17.28,16.65,16.73,14758.18,艾隆科技,16.82,16.58,15.98
2025-05-23,16.83,17.08,16.45,16.52,15386.49,艾隆科技,16.81,16.61,16.06
2025-05-26,16.88,16.88,16.4,16.66,7653.24,艾隆科技,16.79,16.63,16.14
2025-05-27,16.58,16.85,16.39,16.85,9595.57,艾隆科技,16.73,16.67,16.24
2025-05-28,16.89,16.98,16.51,16.73,8858.82,艾隆科技,16.7,16.72,16.33
2025-05-29,16.66,17.09,16.6,17.0,9700.18,艾隆科技,16.75,16.79,16.45
2025-05-30,17.17,17.36,16.7,17.08,19660.65,艾隆科技,16.86,16.84,16.54
2025-06-03,16.87,17.29,16.87,17.21,10475.96,艾隆科技,16.97,16.88,16.62
2025-06-04,17.1,17.29,16.95,17.11,7774.45,艾隆科技,17.03,16.88,16.67
2025-06-05,17.23,17.23,16.96,17.04,7156.44,艾隆科技,17.09,16.89,16.72
2025-06-06,17.15,17.26,16.85,17.15,9632.75,艾隆科技,17.12,16.93,16.76
2025-06-09,17.16,17.73,17.16,17.58,15583.08,艾隆科技,17.22,17.04,16.82
2025-06-10,17.58,17.72,17.1,17.37,12951.68,艾隆科技,17.25,17.11,16.87
2025-06-11,17.43,17.61,17.22,17.44,8453.46,艾隆科技,17.32,17.17,16.92
2025-06-12,17.22,17.56,17.22,17.56,6710.29,艾隆科技,17.42,17.25,16.98
2025-06-13,17.46,17.7,17.11,17.24,12305.31,艾隆科技,17.44,17.28,17.03
2025-06-16,17.57,17.71,17.11,17.51,10734.49,艾隆科技,17.42,17.32,17.08
2025-06-17,17.56,17.76,17.33,17.5,9938.5,艾隆科技,17.45,17.35,17.12
2025-06-18,17.39,17.55,17.11,17.23,8727.94,艾隆科技,17.41,17.36,17.12
2025-06-19,17.31,17.42,16.95,16.99,11345.29,艾隆科技,17.29,17.36,17.12
2025-06-20,17.0,17.34,16.83,16.84,9350.3,艾隆科技,17.21,17.33,17.13
2025-06-23,16.92,17.6,16.71,17.51,11078.06,艾隆科技,17.21,17.32,17.18
2025-06-24,17.52,17.99,17.52,17.99,10182.35,艾隆科技,17.31,17.38,17.25
2025-06-25,18.0,18.42,17.76,18.26,16709.42,艾隆科技,17.52,17.46,17.32
2025-06-26,18.26,18.49,18.02,18.17,8399.1,艾隆科技,17.75,17.52,17.39
