date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,73.16,74.65,70.66,72.65,52598.84,铂力特,72.65,72.65,72.65
2025-03-25,72.88,74.43,71.26,71.63,45841.4,铂力特,72.14,72.14,72.14
2025-03-26,72.23,73.87,71.15,73.0,50254.27,铂力特,72.43,72.43,72.43
2025-03-27,72.45,77.4,71.3,75.18,87709.34,铂力特,73.12,73.12,73.12
2025-03-28,74.43,76.3,74.02,75.44,43622.48,铂力特,73.58,73.58,73.58
2025-03-31,75.4,77.98,72.58,73.35,69453.11,铂力特,73.72,73.54,73.54
2025-04-01,74.1,74.99,67.92,68.6,121127.38,铂力特,73.11,72.84,72.84
2025-04-02,68.8,72.31,68.8,70.07,58391.5,铂力特,72.53,72.49,72.49
2025-04-03,69.37,71.22,66.27,66.61,53238.87,铂力特,70.81,71.84,71.84
2025-04-07,60.0,62.0,53.29,54.71,140946.9,铂力特,66.67,70.12,70.12
2025-04-08,54.7,56.35,53.07,54.81,104147.47,铂力特,62.96,68.34,68.73
2025-04-09,52.8,58.13,51.5,57.0,90154.87,铂力特,60.64,66.88,67.75
2025-04-10,63.0,63.9,59.0,60.01,109822.43,铂力特,58.63,65.58,67.16
2025-04-11,59.46,63.45,59.0,63.2,66958.45,铂力特,57.95,64.38,66.88
2025-04-14,64.5,66.18,62.2,62.53,68330.54,铂力特,59.51,63.09,66.59
2025-04-15,62.05,62.62,59.8,60.61,51949.21,铂力特,60.67,61.82,66.21
2025-04-16,60.61,60.9,58.69,60.06,48920.55,铂力特,61.28,60.96,65.85
2025-04-17,59.4,61.49,59.39,59.63,39504.71,铂力特,61.21,59.92,65.5
2025-04-18,59.5,61.2,59.25,60.07,24633.49,铂力特,60.58,59.26,65.22
2025-04-21,60.07,63.99,59.71,63.86,52741.36,铂力特,60.85,60.18,65.15
2025-04-22,63.13,63.79,62.0,62.01,31390.24,铂力特,61.13,60.9,64.62
2025-04-23,63.5,66.5,62.88,65.2,66248.02,铂力特,62.15,61.72,64.3
2025-04-24,64.7,65.34,63.25,63.72,33612.78,铂力特,62.97,62.09,63.83
2025-04-25,64.36,65.55,63.16,64.4,33042.82,铂力特,63.84,62.21,63.29
2025-04-28,64.38,65.26,63.11,64.91,38526.55,铂力特,64.05,62.45,62.77
2025-04-29,64.34,64.66,60.9,63.58,49136.13,铂力特,64.36,62.74,62.28
2025-04-30,63.28,68.07,63.26,67.68,47198.15,铂力特,64.86,63.51,62.23
2025-05-06,67.89,69.6,67.15,68.28,36808.98,铂力特,65.77,64.37,62.14
2025-05-07,70.17,71.4,66.7,68.0,51507.75,铂力特,66.49,65.16,62.21
2025-05-08,68.0,69.66,67.13,67.92,39723.58,铂力特,67.09,65.57,62.87
2025-05-09,67.05,67.95,64.17,64.8,49969.83,铂力特,67.34,65.85,63.37
2025-05-12,66.0,73.39,65.6,68.59,110081.83,铂力特,67.52,66.19,63.95
2025-05-13,69.5,70.6,65.9,66.4,75032.98,铂力特,67.14,66.46,64.27
2025-05-14,66.23,66.49,63.5,66.0,64011.91,铂力特,66.74,66.62,64.41
