date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,16.36,16.65,15.7,15.96,20686.35,奥精医疗,15.96,15.96,15.96
2025-03-25,15.95,16.07,15.76,15.96,7819.1,奥精医疗,15.96,15.96,15.96
2025-03-26,15.9,16.31,15.83,16.2,7918.33,奥精医疗,16.04,16.04,16.04
2025-03-27,16.25,16.38,15.85,16.3,7770.28,奥精医疗,16.1,16.1,16.1
2025-03-28,16.25,16.47,15.85,15.99,7376.11,奥精医疗,16.08,16.08,16.08
2025-03-31,15.77,16.03,15.67,15.86,9498.99,奥精医疗,16.06,16.04,16.04
2025-04-01,15.8,16.54,15.8,16.23,14821.74,奥精医疗,16.12,16.07,16.07
2025-04-02,16.22,16.48,16.01,16.27,9183.96,奥精医疗,16.13,16.1,16.1
2025-04-03,16.06,16.48,15.97,16.04,9377.81,奥精医疗,16.08,16.09,16.09
2025-04-07,15.19,15.48,13.2,13.46,31227.94,奥精医疗,15.57,15.83,15.83
2025-04-08,13.46,14.45,13.46,14.0,18510.25,奥精医疗,15.2,15.63,15.66
2025-04-09,13.64,14.32,13.15,14.2,20974.27,奥精医疗,14.79,15.46,15.54
2025-04-10,14.6,14.8,14.39,14.5,16474.09,奥精医疗,14.44,15.28,15.46
2025-04-11,14.25,14.78,14.25,14.55,11350.79,奥精医疗,14.14,15.11,15.39
2025-04-14,14.55,14.92,14.55,14.68,8396.13,奥精医疗,14.39,14.98,15.35
2025-04-15,14.45,14.86,14.45,14.74,6805.13,奥精医疗,14.53,14.87,15.31
2025-04-16,14.58,14.97,14.17,14.47,11064.14,奥精医疗,14.59,14.69,15.26
2025-04-17,14.47,14.7,14.34,14.61,9843.92,奥精医疗,14.61,14.52,15.22
2025-04-18,14.68,14.87,14.37,14.66,9300.31,奥精医疗,14.63,14.39,15.19
2025-04-21,14.67,16.54,14.49,16.13,45178.42,奥精医疗,14.92,14.65,15.24
2025-04-22,16.13,16.9,15.79,16.49,32121.85,奥精医疗,15.27,14.9,15.27
2025-04-23,16.45,16.66,15.88,16.0,20556.75,奥精医疗,15.58,15.08,15.27
2025-04-24,16.0,16.1,15.58,15.69,17209.07,奥精医疗,15.79,15.2,15.24
2025-04-25,15.84,15.96,15.34,15.42,14239.55,奥精医疗,15.95,15.29,15.2
2025-04-28,15.33,15.63,14.64,15.4,27832.2,奥精医疗,15.8,15.36,15.17
2025-04-29,15.35,15.98,15.32,15.73,13998.63,奥精医疗,15.65,15.46,15.16
2025-04-30,15.63,16.31,15.63,15.9,18264.38,奥精医疗,15.63,15.6,15.15
2025-05-06,16.25,16.25,15.71,15.85,19063.08,奥精医疗,15.66,15.73,15.13
2025-05-07,16.0,16.16,15.76,16.15,13695.86,奥精医疗,15.81,15.88,15.13
2025-05-08,15.83,16.63,15.83,16.55,31354.56,奥精医疗,16.04,15.92,15.29
2025-05-09,16.55,16.95,16.41,16.43,30032.43,奥精医疗,16.18,15.91,15.41
2025-05-12,16.6,17.1,16.35,16.97,35585.66,奥精医疗,16.39,16.01,15.55
2025-05-13,17.06,17.11,16.62,16.82,19608.69,奥精医疗,16.58,16.12,15.66
2025-05-14,16.63,16.95,16.25,16.36,27675.16,奥精医疗,16.63,16.22,15.75
2025-05-15,16.46,16.54,16.11,16.21,12651.59,奥精医疗,16.56,16.3,15.83
2025-05-16,16.3,16.49,16.21,16.28,10450.28,奥精医疗,16.53,16.35,15.91
2025-05-19,16.4,17.09,16.17,16.96,29036.44,奥精医疗,16.53,16.46,16.03
2025-05-20,17.01,17.93,16.96,17.63,47965.36,奥精医疗,16.69,16.64,16.18
2025-05-21,17.53,17.89,17.35,17.47,36691.28,奥精医疗,16.91,16.77,16.32
2025-05-22,17.41,17.98,17.28,17.61,29258.72,奥精医疗,17.19,16.87,16.4
2025-05-23,17.62,18.09,17.27,17.28,30597.39,奥精医疗,17.39,16.96,16.44
2025-05-26,17.3,18.05,17.18,17.59,26169.24,奥精医疗,17.52,17.02,16.52
2025-05-27,17.62,17.89,17.33,17.65,22166.43,奥精医疗,17.52,17.1,16.61
2025-05-28,17.51,17.73,17.19,17.29,13386.69,奥精医疗,17.48,17.2,16.71
2025-05-29,17.16,18.98,17.16,18.84,69499.87,奥精医疗,17.73,17.46,16.88
2025-05-30,18.82,19.68,18.6,18.93,87658.83,奥精医疗,18.06,17.73,17.04
2025-06-03,18.93,19.09,18.39,18.54,35101.74,奥精医疗,18.25,17.88,17.17
2025-06-04,18.7,18.97,18.48,18.88,24051.91,奥精医疗,18.5,18.01,17.32
2025-06-05,18.8,20.8,18.74,20.31,112498.76,奥精医疗,19.1,18.29,17.53
2025-06-06,20.15,20.52,19.48,19.7,88078.62,奥精医疗,19.27,18.5,17.69
2025-06-09,20.0,20.1,18.93,19.28,58067.74,奥精医疗,19.34,18.7,17.83
2025-06-10,19.22,20.66,19.19,20.4,66498.9,奥精医疗,19.71,18.98,18.0
2025-06-11,20.0,21.52,20.0,21.29,89230.86,奥精医疗,20.2,19.35,18.23
2025-06-12,21.01,21.39,20.77,21.29,41243.17,奥精医疗,20.39,19.75,18.47
2025-06-13,21.03,21.45,20.08,20.19,48845.64,奥精医疗,20.49,19.88,18.67
2025-06-16,20.04,20.65,19.97,20.3,28832.61,奥精医疗,20.69,20.02,18.87
2025-06-17,20.42,20.75,19.15,19.27,54646.95,奥精医疗,20.47,20.09,18.99
2025-06-18,19.2,19.24,18.5,18.78,36382.01,奥精医疗,19.97,20.08,19.04
2025-06-19,18.78,18.78,18.06,18.16,28160.76,奥精医疗,19.34,19.87,19.08
2025-06-20,18.08,18.33,17.95,18.24,15549.78,奥精医疗,18.95,19.72,19.11
2025-06-23,18.13,18.56,18.12,18.4,17789.09,奥精医疗,18.57,19.63,19.17
2025-06-24,18.63,18.63,18.35,18.51,17974.88,奥精医疗,18.42,19.44,19.21
2025-06-25,18.88,18.88,18.24,18.5,22425.88,奥精医疗,18.36,19.16,19.26
2025-06-26,18.5,18.5,17.99,18.13,22651.42,奥精医疗,18.36,18.85,19.3
2025-06-27,18.15,18.4,18.01,18.21,16096.15,奥精医疗,18.35,18.65,19.27
2025-06-30,18.35,19.55,18.21,19.12,44998.69,奥精医疗,18.49,18.53,19.27
2025-07-01,19.11,19.53,18.84,18.88,25242.56,奥精医疗,18.57,18.49,19.29
2025-07-02,18.89,18.98,18.32,18.56,20520.6,奥精医疗,18.58,18.47,19.28
2025-07-03,18.71,18.88,18.46,18.61,15181.04,奥精医疗,18.68,18.52,19.19
2025-07-04,18.61,18.78,18.25,18.27,23500.51,奥精医疗,18.69,18.52,19.12
2025-07-07,18.3,18.77,18.11,18.16,21879.5,奥精医疗,18.5,18.5,19.06
2025-07-08,18.19,18.39,18.01,18.34,14889.25,奥精医疗,18.39,18.48,18.96
2025-07-09,18.33,18.4,17.89,17.93,33181.93,奥精医疗,18.26,18.42,18.79
2025-07-10,17.87,18.09,17.7,17.99,15902.62,奥精医疗,18.14,18.41,18.63
2025-07-11,17.91,18.41,17.91,18.31,24797.18,奥精医疗,18.15,18.42,18.53
2025-07-14,18.39,18.73,18.02,18.6,27461.89,奥精医疗,18.23,18.36,18.45
2025-07-15,18.68,18.73,18.15,18.39,21372.45,奥精医疗,18.24,18.32,18.4
2025-07-16,18.36,18.59,18.33,18.52,16710.28,奥精医疗,18.36,18.31,18.39
2025-07-17,18.59,18.9,18.45,18.69,20210.42,奥精医疗,18.5,18.32,18.42
2025-07-18,18.85,18.86,18.33,18.76,26950.65,奥精医疗,18.59,18.37,18.44
2025-07-21,18.77,19.16,18.76,19.03,26143.73,奥精医疗,18.68,18.46,18.48
2025-07-22,19.04,20.36,18.9,18.91,67505.59,奥精医疗,18.78,18.51,18.5
2025-07-23,18.81,19.21,18.59,18.66,33885.57,奥精医疗,18.81,18.59,18.5
2025-07-24,18.69,19.04,18.6,18.82,38870.98,奥精医疗,18.84,18.67,18.54
2025-07-25,18.99,20.2,18.81,19.77,99590.5,奥精医疗,19.04,18.82,18.62
2025-07-28,19.7,19.8,19.37,19.52,64744.2,奥精医疗,19.14,18.91,18.64
2025-07-29,19.86,19.9,19.35,19.76,40087.71,奥精医疗,19.31,19.04,18.68
2025-07-30,19.65,19.75,19.0,19.23,40316.38,奥精医疗,19.42,19.12,18.71
2025-07-31,19.19,20.11,19.05,19.32,68639.28,奥精医疗,19.52,19.18,18.75
2025-08-01,19.36,19.6,19.01,19.25,46334.29,奥精医疗,19.42,19.23,18.8
2025-08-04,19.24,19.85,18.8,19.76,56414.65,奥精医疗,19.46,19.3,18.88
2025-08-05,19.98,20.17,19.56,19.86,44297.56,奥精医疗,19.48,19.4,18.95
2025-08-06,19.87,20.05,19.67,19.9,33724.07,奥精医疗,19.62,19.52,19.05
2025-08-07,19.91,20.44,19.72,19.82,39583.83,奥精医疗,19.72,19.62,19.14
2025-08-08,19.82,20.7,19.51,20.26,67543.41,奥精医疗,19.92,19.67,19.24
2025-08-11,20.4,21.2,20.38,20.95,54263.88,奥精医疗,20.16,19.81,19.36
2025-08-12,20.97,21.45,20.65,20.76,52204.59,奥精医疗,20.34,19.91,19.48
2025-08-13,20.76,21.1,20.61,21.04,42909.13,奥精医疗,20.57,20.09,19.6
2025-08-14,21.03,21.17,20.16,20.27,50600.07,奥精医疗,20.66,20.19,19.68
2025-08-15,20.4,21.0,20.31,20.82,38457.03,奥精医疗,20.77,20.34,19.79
2025-08-18,20.9,22.14,20.78,22.06,70738.0,奥精医疗,20.99,20.57,19.94
2025-08-19,22.13,22.13,21.48,21.55,50382.32,奥精医疗,21.15,20.74,20.07
2025-08-20,21.59,21.73,21.05,21.3,37051.04,奥精医疗,21.2,20.88,20.2
2025-08-21,21.39,21.88,21.0,21.2,34275.74,奥精医疗,21.39,21.02,20.32
2025-08-22,21.44,21.44,20.76,20.92,34187.72,奥精医疗,21.41,21.09,20.38
2025-08-25,21.0,21.26,20.48,20.68,49195.16,奥精医疗,21.13,21.06,20.44
2025-08-26,20.76,21.02,20.5,20.65,40970.17,奥精医疗,20.95,21.05,20.48
2025-08-27,20.56,20.77,19.8,19.86,51114.54,奥精医疗,20.66,20.93,20.51
2025-08-28,19.7,20.18,19.15,20.01,54230.51,奥精医疗,20.42,20.9,20.55
2025-08-29,19.9,20.67,19.85,20.0,36620.93,奥精医疗,20.24,20.82,20.58
2025-09-01,19.98,20.97,19.86,20.6,61920.97,奥精医疗,20.22,20.68,20.63
2025-09-02,20.42,20.68,19.41,20.04,49421.71,奥精医疗,20.1,20.53,20.63
2025-09-03,19.8,20.33,19.68,19.79,23872.28,奥精医疗,20.09,20.38,20.63
2025-09-04,19.76,20.59,19.43,19.69,45229.31,奥精医疗,20.02,20.22,20.62
2025-09-05,19.72,21.65,19.39,21.5,87447.65,奥精医疗,20.32,20.28,20.68
2025-09-08,21.88,25.8,21.75,25.8,237617.18,奥精医疗,21.36,20.79,20.93
2025-09-09,25.9,27.37,25.55,26.59,232921.48,奥精医疗,22.67,21.39,21.22
2025-09-10,26.03,26.03,24.6,25.42,134717.54,奥精医疗,23.8,21.94,21.44
2025-09-11,25.14,27.55,24.68,26.94,141388.24,奥精医疗,25.25,22.64,21.77
2025-09-12,26.99,27.24,25.62,25.9,101989.26,奥精医疗,26.13,23.23,22.02
2025-09-15,25.7,28.0,25.7,26.71,123788.99,奥精医疗,26.31,23.84,22.26
2025-09-16,27.0,29.88,27.0,28.52,164973.71,奥精医疗,26.7,24.69,22.61
2025-09-17,28.51,28.54,27.5,27.8,97397.55,奥精医疗,27.17,25.49,22.93
2025-09-18,27.52,28.5,26.56,26.9,101600.19,奥精医疗,27.17,26.21,23.22
2025-09-19,26.89,27.65,26.43,27.13,73287.24,奥精医疗,27.41,26.77,23.53
2025-09-22,27.0,28.13,26.75,27.56,60282.46,奥精医疗,27.58,26.95,23.87
2025-09-23,27.54,27.71,25.36,26.44,80874.31,奥精医疗,27.17,26.93,24.16
2025-09-24,26.37,27.14,25.5,26.73,70708.91,奥精医疗,26.95,27.06,24.5
2025-09-25,26.5,26.58,25.74,26.03,39278.71,奥精医疗,26.78,26.97,24.8
2025-09-26,26.0,26.0,25.32,25.4,28224.22,奥精医疗,26.43,26.92,25.07
2025-09-29,25.86,26.66,25.5,26.3,51933.31,奥精医疗,26.18,26.88,25.36
2025-09-30,26.53,27.53,26.07,26.72,64339.61,奥精医疗,26.24,26.7,25.69
2025-10-09,27.0,29.77,27.0,27.72,146823.81,奥精医疗,26.43,26.69,26.09
2025-10-10,27.99,27.99,25.81,26.0,109925.29,奥精医疗,26.43,26.6,26.41
2025-10-13,24.51,26.3,24.48,25.73,59985.65,奥精医疗,26.49,26.46,26.62
2025-10-14,26.0,26.0,24.5,24.82,39901.12,奥精医疗,26.2,26.19,26.57
2025-10-15,24.68,25.28,24.26,24.53,31040.47,奥精医疗,25.76,26.0,26.47
2025-10-16,24.5,24.85,23.69,23.87,27933.76,奥精医疗,24.99,25.71,26.39
2025-10-17,24.0,24.23,22.9,23.12,26457.27,奥精医疗,24.41,25.42,26.2
2025-10-20,23.47,23.98,23.06,23.26,24556.36,奥精医疗,23.92,25.21,26.06
2025-10-21,23.41,23.92,23.34,23.75,26262.2,奥精医疗,23.71,24.95,25.92
2025-10-22,23.75,23.84,23.23,23.41,20767.98,奥精医疗,23.48,24.62,25.66
2025-10-23,23.18,23.98,22.9,23.33,24335.17,奥精医疗,23.37,24.18,25.44
2025-10-24,23.52,23.88,23.06,23.53,24449.23,奥精医疗,23.46,23.94,25.27
2025-10-27,23.79,24.03,23.1,23.26,28503.49,奥精医疗,23.46,23.69,25.08
2025-10-28,23.37,23.37,22.84,22.89,26679.19,奥精医疗,23.28,23.5,24.84
2025-10-29,22.72,24.53,22.65,23.45,47673.61,奥精医疗,23.29,23.39,24.69
2025-10-30,23.5,24.15,23.09,23.23,59936.87,奥精医疗,23.27,23.32,24.52
2025-10-31,23.41,23.49,22.67,23.0,66171.77,奥精医疗,23.17,23.31,24.37
2025-11-03,23.49,23.85,22.82,23.66,61594.35,奥精医疗,23.25,23.35,24.28
2025-11-04,23.68,23.78,22.08,22.27,74199.77,奥精医疗,23.12,23.2,24.08
2025-11-05,21.83,22.5,21.65,21.8,69297.24,奥精医疗,22.79,23.04,23.83
2025-11-06,21.77,21.99,21.58,21.99,37006.05,奥精医疗,22.54,22.91,23.54
2025-11-07,21.8,22.44,21.79,22.3,32816.55,奥精医疗,22.4,22.78,23.36
2025-11-10,22.35,22.52,21.71,21.99,36578.88,奥精医疗,22.07,22.66,23.17
2025-11-11,22.24,22.73,21.75,22.07,38790.6,奥精医疗,22.03,22.58,23.04
2025-11-12,21.9,22.1,21.56,21.56,27920.5,奥精医疗,21.98,22.39,22.89
2025-11-13,21.66,21.87,21.52,21.61,29649.85,奥精医疗,21.91,22.22,22.77
2025-11-14,21.6,22.14,21.55,21.85,27869.47,奥精医疗,21.82,22.11,22.71
2025-11-17,21.84,21.85,21.47,21.62,21492.04,奥精医疗,21.74,21.91,22.63
2025-11-18,21.53,21.62,21.0,21.29,29455.84,奥精医疗,21.59,21.81,22.51
2025-11-19,21.33,21.48,20.5,20.5,35167.46,奥精医疗,21.37,21.68,22.36
2025-11-20,20.63,21.12,20.24,20.45,30374.62,奥精医疗,21.14,21.52,22.22
2025-11-21,20.43,20.59,19.31,19.36,36315.48,奥精医疗,20.64,21.23,22.01
2025-11-24,19.59,19.97,19.48,19.82,24174.37,奥精医疗,20.28,21.01,21.84
2025-11-25,20.19,20.9,20.0,20.47,36529.28,奥精医疗,20.12,20.85,21.71
